tender_ref,plant_id,grade_code,tonnes,window_start,window_end,rate_per_t,freight_per_t,option_pct
T-23-01,Q1,PLT-D4,22100,2023-04-01,2024-03-31,7540,690,0.25
T-23-05,Q2,PLT-D4,21700,2023-04-01,2024-03-31,7890,720,0.25
C-23-20,Q6,PLT-C3,7100,2023-04-01,2024-03-31,7060,840,0.0
C-23-08,Q3,PLT-D4,5900,2023-05-01,2024-04-30,8020,380,0.0
C-23-12,Q4,PLT-D4,6400,2023-05-01,2024-04-30,7820,520,0.0
C-23-16,Q5,PLT-D4,5500,2023-07-01,2024-06-30,7820,610,0.0
T-24-02,Q1,PLT-C3,17300,2024-04-01,2025-03-31,8080,690,0.25
T-24-06,Q2,PLT-D4,22800,2024-04-01,2025-03-31,7210,720,0.25
C-24-21,Q6,PLT-C3,4700,2024-04-01,2025-03-31,7530,840,0.0
C-24-09,Q3,PLT-D4,5800,2024-05-01,2025-04-30,7340,380,0.0
C-24-13,Q4,PLT-D4,4900,2024-05-01,2025-04-30,7450,520,0.0
C-24-17,Q5,PLT-D4,6400,2024-07-01,2025-06-30,7500,610,0.0
T-25-03,Q1,PLT-D4,17500,2025-04-01,2026-03-31,8850,690,0.25
C-25-22,Q6,PLT-D4,7300,2025-04-01,2026-03-31,7460,840,0.0
C-25-10,Q3,PLT-D4,6400,2025-05-01,2026-04-30,8210,380,0.0
C-25-14,Q4,PLT-C3,5400,2025-05-01,2026-04-30,7620,520,0.0
C-25-18,Q5,PLT-D4,6300,2025-07-01,2026-06-30,8660,610,0.0
T-26-04,Q1,PLT-D4,18800,2026-04-01,2027-03-31,8880,690,0.25
T-26-07,Q2,PLT-D4,19100,2026-04-01,2027-03-31,8510,720,0.25
C-26-23,Q6,PLT-D4,5600,2026-04-01,2027-03-31,8070,840,0.0
C-26-11,Q3,PLT-C3,4500,2026-05-01,2027-04-30,8310,380,0.0
C-26-15,Q4,PLT-C3,5000,2026-05-01,2027-04-30,8870,520,0.0
C-26-19,Q5,PLT-D4,6400,2026-07-01,2027-06-30,8760,610,0.0
