ledger_name,buyer,kind,pay_days
NTPC Sipat,NTPC Limited,psu,30
NTPC Korba,NTPC Limited,psu,30
NTPC Mouda,NTPC Limited,psu,30
NTPC North Karanpura,NTPC Limited,psu,30
NTPC Darlipali,NTPC Limited,psu,30
NTPC Lara,NTPC Limited,psu,30
NTPC Gadarwara,NTPC Limited,psu,30
Suratgarh STPS,Rajasthan Rajya Vidyut Utpadan Nigam,psu,45
Nagaur Cement,Nagaur Cement Works,private,21
Jaipur Bottling,Jaipur Bottling Plant,private,15
Bhilwara Paper,Bhilwara Paper Mills,private,30
Kota Textile,Kota Textile Processors,private,45
