tender_ref,month,qty_t
C-23-42,2023-04,600
C-23-42,2023-05,600
C-23-42,2023-06,600
C-23-42,2023-07,600
C-23-42,2023-08,600
C-23-42,2023-09,600
C-23-42,2023-10,600
C-23-42,2023-11,600
C-23-42,2023-12,600
C-23-42,2024-01,600
C-23-42,2024-02,600
C-23-42,2024-03,700.0
C-23-35,2023-06,500
C-23-35,2023-07,500
C-23-35,2023-08,500
C-23-35,2023-09,500
C-23-35,2023-10,500
C-23-35,2023-11,500
C-23-35,2023-12,500
C-23-35,2024-01,500
C-23-35,2024-02,500
C-23-35,2024-03,500
C-23-35,2024-04,500
C-23-35,2024-05,600.0
C-23-31,2023-06,625
C-23-31,2023-07,625
C-23-31,2023-08,625
C-23-31,2023-09,625
C-23-31,2023-10,625
C-23-31,2023-11,625
C-23-31,2023-12,625
C-23-31,2024-01,625
C-23-31,2024-02,625
C-23-31,2024-03,625
C-23-31,2024-04,625
C-23-31,2024-05,525.0
C-23-39,2023-07,500
C-23-39,2023-08,500
C-23-39,2023-09,500
C-23-39,2023-10,500
C-23-39,2023-11,500
C-23-39,2023-12,500
C-23-39,2024-01,500
C-23-39,2024-02,500
C-23-39,2024-03,500
C-23-39,2024-04,500
C-23-39,2024-05,500
C-23-39,2024-06,500.0
C-24-43,2024-04,500
C-24-43,2024-05,500
C-24-43,2024-06,500
C-24-43,2024-07,500
C-24-43,2024-08,500
C-24-43,2024-09,500
C-24-43,2024-10,500
C-24-43,2024-11,500
C-24-43,2024-12,500
C-24-43,2025-01,500
C-24-43,2025-02,500
C-24-43,2025-03,400.0
C-24-36,2024-06,700
C-24-36,2024-07,700
C-24-36,2024-08,700
C-24-36,2024-09,700
C-24-36,2024-10,700
C-24-36,2024-11,700
C-24-36,2024-12,700
C-24-36,2025-01,700
C-24-36,2025-02,700
C-24-36,2025-03,700
C-24-36,2025-04,700
C-24-36,2025-05,600.0
C-24-32,2024-06,475
C-24-32,2024-07,475
C-24-32,2024-08,475
C-24-32,2024-09,475
C-24-32,2024-10,475
C-24-32,2024-11,475
C-24-32,2024-12,475
C-24-32,2025-01,475
C-24-32,2025-02,475
C-24-32,2025-03,475
C-24-32,2025-04,475
C-24-32,2025-05,375.0
C-24-40,2024-07,675
C-24-40,2024-08,675
C-24-40,2024-09,675
C-24-40,2024-10,675
C-24-40,2024-11,675
C-24-40,2024-12,675
C-24-40,2025-01,675
C-24-40,2025-02,675
C-24-40,2025-03,675
C-24-40,2025-04,675
C-24-40,2025-05,675
C-24-40,2025-06,675.0
C-25-44,2025-04,750
C-25-44,2025-05,750
C-25-44,2025-06,750
C-25-44,2025-07,750
C-25-44,2025-08,750
C-25-44,2025-09,750
C-25-44,2025-10,750
C-25-44,2025-11,750
C-25-44,2025-12,750
C-25-44,2026-01,750
C-25-44,2026-02,750
C-25-44,2026-03,650.0
C-25-37,2025-06,600
C-25-37,2025-07,600
C-25-37,2025-08,600
C-25-37,2025-09,600
C-25-37,2025-10,600
C-25-37,2025-11,600
C-25-37,2025-12,600
C-25-37,2026-01,600
C-25-37,2026-02,600
C-25-37,2026-03,600
C-25-37,2026-04,600
C-25-37,2026-05,600.0
C-25-33,2025-06,700
C-25-33,2025-07,700
C-25-33,2025-08,700
C-25-33,2025-09,700
C-25-33,2025-10,700
C-25-33,2025-11,700
C-25-33,2025-12,700
C-25-33,2026-01,700
C-25-33,2026-02,700
C-25-33,2026-03,700
C-25-33,2026-04,700
C-25-33,2026-05,800.0
C-26-45,2026-04,675
C-26-45,2026-05,675
C-26-45,2026-06,675
C-26-45,2026-07,675
C-26-45,2026-08,675
C-26-45,2026-09,675
C-26-45,2026-10,675
C-26-45,2026-11,675
C-26-45,2026-12,675
C-26-45,2027-01,675
C-26-45,2027-02,675
C-26-45,2027-03,575.0
C-26-38,2026-06,625
C-26-38,2026-07,625
C-26-38,2026-08,625
C-26-38,2026-09,625
C-26-38,2026-10,625
C-26-38,2026-11,625
C-26-38,2026-12,625
C-26-38,2027-01,625
C-26-38,2027-02,625
C-26-38,2027-03,625
C-26-38,2027-04,625
C-26-38,2027-05,625.0
C-26-34,2026-06,600
C-26-34,2026-07,600
C-26-34,2026-08,600
C-26-34,2026-09,600
C-26-34,2026-10,600
C-26-34,2026-11,600
C-26-34,2026-12,600
C-26-34,2027-01,600
C-26-34,2027-02,600
C-26-34,2027-03,600
C-26-34,2027-04,600
C-26-34,2027-05,500.0
C-26-41,2026-07,500
C-26-41,2026-08,500
C-26-41,2026-09,500
C-26-41,2026-10,500
C-26-41,2026-11,500
C-26-41,2026-12,500
C-26-41,2027-01,500
C-26-41,2027-02,500
C-26-41,2027-03,500
C-26-41,2027-04,500
C-26-41,2027-05,500
C-26-41,2027-06,500.0
