dispatch_no,dispatch_date,vehicle_no,grade_code,destination,tender_ref,qty_gross_t,qty_net_t,invoice_no
DR00001,2023-04-18,RJ14GA4605,PLT-B2,NTPC SIPAT,T-23-01,995.08,963.1,INV00001
DR00002,2023-04-10,RJ12GA9088,PLT-B2,NTPC SIPAT,T-23-01,1025.76,1003.6,INV00002
DR00003,2023-04-09,RJ17GA4904,PLT-B2,KOTA TEXTILE,C-23-42,629.85,608.3,INV00003
DR00004,2023-04-17,RJ07GA5524,PLT-B2,NTPC KORBA,T-23-05,1197.94,1158.9,INV00004
DR00005,2023-04-24,RJ02GA3897,PLT-B2,NTPC KORBA,T-23-05,976.85,949.4,INV00005
DR00006,2023-04-20,RJ03GA8522,PLT-A1,NTPC MOUDA,T-23-09,2074.28,2016.7,INV00006
DR00007,2023-04-19,RJ05GA6226,PLT-T1,NTPC NORTH KARANPURA,T-23-13,1118.01,1094.5,INV00007
DR00008,2023-04-18,RJ03GA3078,PLT-T1,NTPC NORTH KARANPURA,T-23-13,952.69,922.2,INV00008
DR00009,2023-04-10,RJ08GA4706,PLT-T1,NTPC DARLIPALI,T-23-17,1020.46,997.7,INV00009
DR00010,2023-04-16,RJ01GA6328,PLT-T1,NTPC DARLIPALI,T-23-17,1145.37,1102.3,INV00010
DR00011,2023-04-15,RJ25GA9120,PLT-B2,NTPC LARA,T-23-21,1003.5,983.4,INV00011
DR00012,2023-04-25,RJ13GA3376,PLT-B2,NTPC LARA,T-23-21,852.42,824.9,INV00012
DR00013,2023-04-14,RJ21GA9739,PLT-T1,NTPC GADARWARA,T-23-24,937.44,903.3,INV00013
DR00014,2023-04-19,RJ09GA9667,PLT-T1,NTPC GADARWARA,T-23-24,1068.84,1046.7,INV00014
DR00015,2023-04-26,RJ15GA9337,PLT-B2,SURATGARH STPS,T-23-27,1758.29,1708.3,INV00015
DR00016,2023-05-17,RJ03GA1666,PLT-B2,NTPC SIPAT,T-23-01,1055.04,1017.4,INV00016
DR00017,2023-05-12,RJ15GA4281,PLT-B2,NTPC SIPAT,,974.13,949.3,INV00017
DR00018,2023-05-03,RJ09GA5397,PLT-B2,KOTA TEXTILE,C-23-42,622.95,608.3,INV00018
DR00019,2023-05-09,RJ14GA8113,PLT-B2,NTPC KORBA,T-23-05,1023.13,997.0,INV00019
DR00020,2023-05-26,RJ01GA4914,PLT-B2,NTPC KORBA,T-23-05,1139.6,1111.3,INV00020
DR00021,2023-05-07,RJ21GA2984,PLT-A1,NTPC MOUDA,T-23-09,1125.87,1091.4,INV00021
DR00022,2023-05-03,RJ22GA8319,PLT-A1,NTPC MOUDA,T-23-09,944.23,925.3,INV00022
DR00023,2023-05-12,RJ01GA5105,PLT-T1,NTPC NORTH KARANPURA,T-23-13,1111.11,1083.6,INV00023
DR00024,2023-05-26,RJ12GA8186,PLT-T1,NTPC NORTH KARANPURA,T-23-13,960.12,933.1,INV00024
DR00025,2023-05-15,RJ11GA8955,PLT-T1,NTPC DARLIPALI,T-23-17,1115.1,1085.3,INV00025
DR00026,2023-05-18,RJ11GA3266,PLT-T1,NTPC DARLIPALI,,1038.57,1014.7,INV00026
DR00027,2023-05-14,RJ22GA2458,PLT-B2,NTPC LARA,,1877.05,1808.3,INV00027
DR00028,2023-05-24,RJ22GA5389,PLT-T1,NTPC GADARWARA,T-23-24,931.79,903.5,INV00028
DR00029,2023-05-25,RJ10GA8362,PLT-T1,NTPC GADARWARA,T-23-24,1067.92,1046.5,INV00029
DR00030,2023-05-14,RJ01GA5568,PLT-B2,SURATGARH STPS,T-23-27,957.09,927.6,INV00030
DR00031,2023-05-15,RJ27GA7187,PLT-B2,SURATGARH STPS,T-23-27,798.16,780.7,INV00031
DR00032,2023-06-20,RJ09GA9589,PLT-B2,NTPC SIPAT,T-23-01,2011.06,1966.7,INV00032
DR00033,2023-06-18,RJ22GA3633,PLT-B2,KOTA TEXTILE,C-23-42,621.57,608.3,INV00033
DR00034,2023-06-04,RJ04GA3871,PLT-B2,NTPC KORBA,T-23-05,1060.91,1034.6,INV00034
DR00035,2023-06-25,RJ10GA1083,PLT-B2,NTPC KORBA,T-23-05,1110.05,1073.7,INV00035
DR00036,2023-06-10,RJ03GA9629,PLT-A1,NTPC MOUDA,T-23-09,1109.42,1068.7,INV00036
DR00037,2023-06-05,RJ16GA2711,PLT-A1,NTPC MOUDA,T-23-09,982.68,948.0,INV00037
DR00038,2023-06-02,RJ23GA9792,PLT-T1,NTPC NORTH KARANPURA,T-23-13,1086.58,1064.5,INV00038
DR00039,2023-06-09,RJ08GA8672,PLT-T1,NTPC NORTH KARANPURA,T-23-13,975.49,952.2,INV00039
DR00040,2023-06-14,RJ18GA8475,PLT-T1,NTPC DARLIPALI,T-23-17,1151.51,1109.1,INV00040
DR00041,2023-06-11,RJ09GA7476,PLT-T1,NTPC DARLIPALI,T-23-17,1016.68,990.9,INV00041
DR00042,2023-06-10,RJ03GA9606,PLT-B2,NTPC LARA,T-23-21,1851.66,1808.3,INV00042
DR00043,2023-06-26,RJ27GA2705,PLT-T1,NTPC GADARWARA,T-23-24,964.62,929.1,INV00043
DR00044,2023-06-21,RJ08GA8512,PLT-T1,NTPC GADARWARA,T-23-24,1060.8,1020.9,INV00044
DR00045,2023-06-14,RJ07GA3502,PLT-B2,SURATGARH STPS,T-23-27,1766.88,1708.3,INV00045
DR00046,2023-06-05,RJ07GA6984,PLT-B2,JAIPUR BOTTLING,C-23-35,521.91,508.3,INV00046
DR00047,2023-06-10,RJ01GA5286,PLT-T1,NAGAUR CEMENT,C-23-31,631.35,616.7,INV00047
DR00048,2023-07-27,RJ15GA8887,PLT-B2,NTPC SIPAT,T-23-01,1107.48,1070.3,INV00048
DR00049,2023-07-20,RJ11GA6146,PLT-B2,NTPC SIPAT,T-23-01,916.05,896.4,INV00049
DR00050,2023-07-03,RJ08GA9900,PLT-B2,KOTA TEXTILE,C-23-42,620.64,608.3,INV00050
DR00051,2023-07-09,RJ03GA8386,PLT-B2,NTPC KORBA,,1087.93,1064.1,INV00051
DR00052,2023-07-08,RJ01GA6679,PLT-B2,NTPC KORBA,T-23-05,1073.93,1044.2,INV00052
DR00053,2023-07-19,RJ18GA1472,PLT-A1,NTPC MOUDA,T-23-09,1132.75,1100.6,INV00053
DR00054,2023-07-26,RJ11GA6703,PLT-A1,NTPC MOUDA,T-23-09,949.48,916.1,INV00054
DR00055,2023-07-26,RJ09GA7948,PLT-T1,NTPC NORTH KARANPURA,T-23-13,2088.86,2016.7,INV00055
DR00056,2023-07-19,RJ15GA2836,PLT-T1,NTPC DARLIPALI,T-23-17,981.31,950.6,INV00056
DR00057,2023-07-06,RJ27GA3109,PLT-T1,NTPC DARLIPALI,T-23-17,1179.31,1149.4,INV00057
DR00058,2023-07-24,RJ16GA9016,PLT-B2,NTPC LARA,T-23-21,848.51,818.0,INV00058
DR00059,2023-07-07,RJ11GA8127,PLT-B2,NTPC LARA,T-23-21,1019.1,990.3,INV00059
DR00060,2023-07-05,RJ24GA5685,PLT-T1,NTPC GADARWARA,T-23-24,939.37,908.7,INV00060
DR00061,2023-07-12,RJ03GA3737,PLT-T1,NTPC GADARWARA,T-23-24,1081.38,1041.3,INV00061
DR00062,2023-07-26,RJ22GA8956,PLT-B2,SURATGARH STPS,,1756.43,1708.3,INV00062
DR00063,2023-07-27,RJ24GA9304,PLT-B2,JAIPUR BOTTLING,C-23-35,526.43,508.3,INV00063
DR00064,2023-07-10,RJ09GA1964,PLT-T1,NAGAUR CEMENT,C-23-31,633.43,616.7,INV00064
DR00065,2023-07-09,RJ04GA3232,PLT-A1,BHILWARA PAPER,C-23-39,513.66,500.0,INV00065
DR00066,2023-08-11,RJ16GA4824,PLT-B2,NTPC SIPAT,T-23-01,1098.78,1061.2,INV00066
DR00067,2023-08-27,RJ15GA5516,PLT-B2,NTPC SIPAT,T-23-01,939.97,905.5,INV00067
DR00068,2023-08-24,RJ16GA2924,PLT-B2,KOTA TEXTILE,C-23-42,627.74,608.3,INV00068
DR00069,2023-08-27,RJ04GA5270,PLT-B2,NTPC KORBA,T-23-05,1087.66,1065.7,INV00069
DR00070,2023-08-07,RJ18GA7549,PLT-B2,NTPC KORBA,T-23-05,1083.78,1042.6,INV00070
DR00071,2023-08-14,RJ25GA5456,PLT-A1,NTPC MOUDA,T-23-09,1086.09,1050.2,INV00071
DR00072,2023-08-04,RJ10GA6979,PLT-A1,NTPC MOUDA,T-23-09,1004.33,966.5,INV00072
DR00073,2023-08-25,RJ16GA4304,PLT-T1,NTPC NORTH KARANPURA,T-23-13,977.34,944.3,INV00073
DR00074,2023-08-02,RJ15GA2641,PLT-T1,NTPC NORTH KARANPURA,,1111.59,1072.4,INV00074
DR00075,2023-08-02,RJ02GA7481,PLT-T1,NTPC DARLIPALI,T-23-17,1092.67,1057.4,INV00075
DR00076,2023-08-10,RJ01GA2376,PLT-T1,NTPC DARLIPALI,T-23-17,1078.38,1042.6,INV00076
DR00077,2023-08-10,RJ02GA9184,PLT-B2,NTPC LARA,T-23-21,1017.32,983.8,INV00077
DR00078,2023-08-18,RJ12GA4739,PLT-B2,NTPC LARA,T-23-21,843.82,824.5,INV00078
DR00079,2023-08-26,RJ14GA2106,PLT-T1,NTPC GADARWARA,,954.56,931.3,INV00079
DR00080,2023-08-10,RJ02GA3685,PLT-T1,NTPC GADARWARA,T-23-24,1046.15,1018.7,INV00080
DR00081,2023-08-12,RJ09GA9633,PLT-B2,SURATGARH STPS,T-23-27,1753.27,1708.3,INV00081
DR00082,2023-08-23,RJ17GA2282,PLT-B2,JAIPUR BOTTLING,C-23-35,521.31,508.3,INV00082
DR00083,2023-08-10,RJ08GA9229,PLT-T1,NAGAUR CEMENT,C-23-31,634.17,616.7,INV00083
DR00084,2023-08-24,RJ23GA2667,PLT-A1,BHILWARA PAPER,C-23-39,511.48,500.0,INV00084
DR00085,2023-09-03,RJ12GA6682,PLT-B2,NTPC SIPAT,T-23-01,2041.85,1966.7,INV00085
DR00086,2023-09-20,RJ09GA2924,PLT-B2,KOTA TEXTILE,C-23-42,620.91,608.3,INV00086
DR00087,2023-09-26,RJ06GA9538,PLT-B2,NTPC KORBA,T-23-05,1077.72,1049.3,INV00087
DR00088,2023-09-11,RJ14GA3640,PLT-B2,NTPC KORBA,T-23-05,1087.3,1059.0,INV00088
DR00089,2023-09-27,RJ01GA2644,PLT-A1,NTPC MOUDA,T-23-09,1149.82,1107.1,INV00089
DR00090,2023-09-12,RJ14GA4907,PLT-A1,NTPC MOUDA,T-23-09,941.22,909.6,INV00090
DR00091,2023-09-06,RJ07GA8497,PLT-T1,NTPC NORTH KARANPURA,T-23-13,981.34,957.3,INV00091
DR00092,2023-09-26,RJ16GA1968,PLT-T1,NTPC NORTH KARANPURA,T-23-13,1099.74,1059.4,INV00092
DR00093,2023-09-22,RJ27GA2206,PLT-T1,NTPC DARLIPALI,T-23-17,1104.03,1066.4,INV00093
DR00094,2023-09-03,RJ16GA3824,PLT-T1,NTPC DARLIPALI,T-23-17,1068.37,1033.6,INV00094
DR00095,2023-09-10,RJ27GA1698,PLT-B2,NTPC LARA,T-23-21,873.57,842.8,INV00095
DR00096,2023-09-14,RJ14GA1867,PLT-B2,NTPC LARA,T-23-21,995.51,965.5,INV00096
DR00097,2023-09-13,RJ19GA7592,PLT-T1,NTPC GADARWARA,T-23-24,1062.65,1022.0,INV00097
DR00098,2023-09-15,RJ21GA1278,PLT-T1,NTPC GADARWARA,T-23-24,964.5,928.0,INV00098
DR00099,2023-09-21,RJ18GA6621,PLT-B2,SURATGARH STPS,,1751.56,1708.3,INV00099
DR00100,2023-09-24,RJ09GA3562,PLT-B2,JAIPUR BOTTLING,C-23-35,521.33,508.3,INV00100
DR00101,2023-09-09,RJ11GA9063,PLT-T1,NAGAUR CEMENT,C-23-31,638.05,616.7,INV00101
DR00102,2023-09-13,RJ25GA1546,PLT-A1,BHILWARA PAPER,C-23-39,516.49,500.0,INV00102
DR00103,2023-10-20,RJ12GA9249,PLT-B2,NTPC SIPAT,T-23-01,927.71,895.1,INV00103
DR00104,2023-10-16,RJ01GA2603,PLT-B2,NTPC SIPAT,,1095.26,1071.6,INV00104
DR00105,2023-10-17,RJ01GA1740,PLT-B2,KOTA TEXTILE,,623.76,608.3,INV00105
DR00106,2023-10-16,RJ09GA4593,PLT-B2,NTPC KORBA,T-23-05,1133.87,1109.1,INV00106
DR00107,2023-10-20,RJ15GA3826,PLT-B2,NTPC KORBA,T-23-05,1023.89,999.2,INV00107
DR00108,2023-10-12,RJ24GA2699,PLT-A1,NTPC MOUDA,T-23-09,2074.69,2016.7,INV00108
DR00109,2023-10-21,RJ23GA7334,PLT-T1,NTPC NORTH KARANPURA,T-23-13,2070.75,2016.7,INV00109
DR00110,2023-10-21,RJ01GA9951,PLT-T1,NTPC DARLIPALI,T-23-17,982.41,950.1,INV00110
DR00111,2023-10-08,RJ12GA1268,PLT-T1,NTPC DARLIPALI,T-23-17,1192.88,1149.9,INV00111
DR00112,2023-10-19,RJ08GA3179,PLT-B2,NTPC LARA,T-23-21,855.01,828.1,INV00112
DR00113,2023-10-15,RJ11GA8902,PLT-B2,NTPC LARA,T-23-21,1015.73,980.2,INV00113
DR00114,2023-10-14,RJ17GA6423,PLT-T1,NTPC GADARWARA,,943.71,915.6,INV00114
DR00115,2023-10-05,RJ05GA1697,PLT-T1,NTPC GADARWARA,T-23-24,1061.2,1034.4,INV00115
DR00116,2023-10-16,RJ20GA2636,PLT-B2,SURATGARH STPS,T-23-27,1746.02,1708.3,INV00116
DR00117,2023-10-04,RJ05GA5355,PLT-B2,JAIPUR BOTTLING,C-23-35,521.08,508.3,INV00117
DR00118,2023-10-11,RJ15GA8279,PLT-T1,NAGAUR CEMENT,C-23-31,637.12,616.7,INV00118
DR00119,2023-10-19,RJ24GA1848,PLT-A1,BHILWARA PAPER,C-23-39,511.41,500.0,INV00119
DR00120,2023-11-12,RJ16GA1857,PLT-B2,NTPC SIPAT,T-23-01,1091.34,1053.6,INV00120
DR00121,2023-11-25,RJ24GA3247,PLT-B2,NTPC SIPAT,T-23-01,936.94,913.1,INV00121
DR00122,2023-11-06,RJ26GA8712,PLT-B2,KOTA TEXTILE,C-23-42,623.55,608.3,INV00122
DR00123,2023-11-15,RJ04GA7064,PLT-B2,NTPC KORBA,T-23-05,1137.32,1098.4,INV00123
