grn_no,received_date,vendor_name,qty_qtl,rate
GRN00001,2023-04-12,Sanwariya Rathore Agro Company,3390.0,1900
GRN00002,2023-04-18,Nakoda Marudhar Agri Residue Pvt Ltd,2360.0,2258
GRN00003,2023-04-11,New Balaji Krishi Bhandar,1840.0,1926
GRN00004,2023-04-22,New Rathore Agro Industries,2636.0,1950
GRN00005,2023-04-17,Khatu Bhairav Biomass Suppliers,1600.0,2252
GRN00006,2023-04-22,Maa Bhairav Krishi Udyog,1473.0,2273
GRN00007,2023-04-28,Shri Bhagwati Trading Co,2579.0,1963
GRN00008,2023-04-24,Maa Bhairav Krishi Udyog,1597.0,2184
GRN00009,2023-05-07,Khatu Thar Agro Company,4050.0,1930
GRN00010,2023-04-11,New Rathore Krishi Bhandar,4096.0,2004
GRN00011,2023-04-17,Jai Rathore Krishi Bhandar,1914.0,2222
GRN00012,2023-04-24,Maa Kathiawad Agri Residue Pvt Ltd,1333.0,2199
GRN00013,2023-04-15,Salasar Mahaveer Fuels,2567.0,1913
GRN00014,2023-04-15,New Rajputana Agro Traders,3997.0,1975
GRN00015,2023-04-14,Maa Ganesh Biomass Co,3700.0,1964
GRN00016,2023-05-12,Khatu Jagdamba Agro Industries,3130.0,1997
GRN00017,2023-05-19,Sanwariya Krishna Agri Residue Pvt Ltd,4077.0,2315
GRN00018,2023-05-23,Sanwariya Krishna Agri Residue Pvt Ltd,3893.0,2325
GRN00019,2023-05-27,Salasar Banas Biomass Co,3000.0,2367
GRN00020,2023-05-21,Shree Rajputana Trading Co,1845.0,2066
GRN00021,2023-05-14,Jai Thar Fuels,3183.0,2311
GRN00022,2023-05-26,Shree Ramdev Fuels,3925.0,1992
GRN00023,2023-05-14,New Bhagwati Krishi Bhandar,3250.0,2031
GRN00024,2023-05-12,Shree Laxmi Biomass Suppliers,4136.0,1973
GRN00025,2023-05-24,Khatu Rajputana Enterprises,2903.0,2368
GRN00026,2023-05-27,New Bhairav Krishi Udyog,2502.0,1981
GRN00027,2023-05-18,Salasar Mahaveer Fuels,1515.0,1991
GRN00028,2023-05-10,Nakoda Ramdev Trading Co,2538.0,2060
GRN00029,2023-05-25,Maa Balaji Krishi Bhandar,3134.0,2056
GRN00030,2023-05-18,Maa Ganesh Biomass Co,3958.0,1970
GRN00031,2023-05-22,Shree Luni Trading Co,3772.0,2012
GRN00032,2023-05-12,Salasar Deepak Agri Residue Pvt Ltd,2875.0,1978
GRN00033,2023-05-26,Maa Ganesh Biomass Co,3686.0,2045
GRN00034,2023-05-24,Nakoda Ramdev Trading Co,2208.0,1978
GRN00035,2023-05-10,Maa Bhairav Krishi Udyog,1788.0,2372
GRN00036,2023-06-22,Maa Ganesh Biomass Co,1809.0,2041
GRN00037,2023-06-21,Salasar Banas Biomass Co,3833.0,2354
GRN00038,2023-06-16,Maa Bhairav Krishi Udyog,2477.0,2311
GRN00039,2023-06-10,Salasar Banas Biomass Co,2424.0,2312
GRN00040,2023-06-26,Shree Ramdev Fuels,2262.0,2087
GRN00041,2023-06-22,Maa Vijay Biomass Co,4015.0,2030
GRN00042,2023-06-21,Maa Ganesh Biomass Co,2633.0,2090
GRN00043,2023-06-19,Salasar Krishna Biomass Suppliers,3564.0,2052
GRN00044,2023-07-15,Maa Krishna Fuels,2510.0,2439
GRN00045,2023-06-19,Salasar Marudhar Krishi Udyog,3067.0,2033
GRN00046,2023-06-11,Khatu Rathore Biomass Co,3980.0,2432
GRN00047,2023-06-15,Salasar Banas Biomass Co,1351.0,2337
GRN00048,2023-06-11,Sanwariya Suraj Biomass Suppliers,1258.0,2059
GRN00049,2023-06-19,Salasar Marudhar Krishi Udyog,2516.0,2081
GRN00050,2023-06-18,Khatu Bhairav Biomass Suppliers,3118.0,2361
GRN00051,2023-06-10,Shree Rajputana Trading Co,1665.0,2023
GRN00052,2023-06-18,Shri Bhagwati Trading Co,2766.0,2047
GRN00053,2023-06-28,Maa Ganesh Biomass Co,1585.0,2030
GRN00054,2023-06-10,New Bhagwati Krishi Bhandar,1682.0,2128
GRN00055,2023-06-12,Sanwariya Ganesh Agri Residue Pvt Ltd,1941.0,2027
GRN00056,2023-06-14,Sanwariya Vijay Enterprises,1299.0,2016
GRN00057,2023-06-26,Maa Balaji Trading Co,2340.0,2111
GRN00058,2023-07-10,Nakoda Banas Krishi Bhandar,2346.0,2485
GRN00059,2023-07-12,Khatu Rathore Biomass Co,2266.0,2513
GRN00060,2023-07-13,Nakoda Banas Krishi Bhandar,1465.0,2443
GRN00061,2023-07-22,Salasar Krishna Biomass Suppliers,1709.0,2160
GRN00062,2023-07-24,Maa Balaji Trading Co,2575.0,2158
GRN00063,2023-07-25,Nakoda Banas Krishi Bhandar,2913.0,2473
GRN00064,2023-07-13,Khatu Vijay Biomass Suppliers,3133.0,2155
GRN00065,2023-07-10,New Bhagwati Krishi Bhandar,3936.0,2202
GRN00066,2023-07-15,Salasar Marudhar Krishi Udyog,2042.0,2164
GRN00067,2023-07-21,New Rathore Agro Industries,1219.0,2137
GRN00068,2023-07-15,Maa Kathiawad Agri Residue Pvt Ltd,3503.0,2458
GRN00069,2023-07-26,Nakoda Ramdev Trading Co,2558.0,2124
GRN00070,2023-07-10,Nakoda Marudhar Agri Residue Pvt Ltd,634.0,2472
GRN00071,2023-07-15,Sanwariya Vijay Enterprises,1576.0,2123
GRN00072,2023-07-16,Salasar Deepak Agri Residue Pvt Ltd,936.0,2114
GRN00073,2023-07-18,Khatu Jagdamba Agro Industries,3722.0,2165
GRN00074,2023-07-27,Maa Kathiawad Agri Residue Pvt Ltd,3390.0,2424
GRN00075,2023-07-27,Sanwariya Govind Agro Industries,2740.0,2111
