month,grade_code,opening_stock_t,planned_qty_t,actual_qty_t,feedstock_consumed_t
2023-04,,4647.5,11371.0,11734.3,15841.3
2023-05,,98.5,16026.7,16374.4,22105.4
2023-06,,189.6,17158.5,17352.7,23426.1
2023-07,,134.0,15655.7,15702.6,21198.5
2023-08,,47.5,15572.5,15878.4,21435.8
2023-09,,63.4,16034.5,15815.1,21350.4
2023-10,,58.3,19076.0,18050.7,24368.4
2023-11,,200.7,17443.9,17783.1,24007.2
2023-12,,75.5,17841.2,17972.3,24262.6
2024-01,,139.5,17814.2,17921.7,24194.3
2024-02,,152.9,18340.3,17941.4,24220.9
2024-03,,186.0,17983.2,17931.4,24207.4
2024-04,,209.1,15531.6,15501.2,20926.6
2024-05,,218.5,15906.7,15350.0,20722.5
2024-06,,76.7,15948.4,15517.1,20948.1
2024-07,,68.6,13350.5,13841.0,18685.4
2024-08,,44.2,14389.3,13827.4,18667.0
2024-09,,62.2,14590.6,13802.6,18633.5
2024-10,,22.4,15688.1,15820.4,21357.5
2024-11,,142.6,15685.4,15676.1,21162.7
2024-12,,118.5,15598.3,15677.5,21164.6
2025-01,,95.8,15062.8,15767.1,21285.6
2025-02,,162.7,15588.4,15623.3,21091.5
2025-03,,85.8,15331.9,15763.2,21280.3
2025-04,,148.8,17584.2,18415.3,24860.7
2025-05,,55.6,17876.1,18510.3,24988.9
2025-06,,57.4,18387.1,18692.9,25235.4
2025-07,,91.9,15854.0,15797.0,21326.0
2025-08,,55.5,15420.4,15822.4,21360.2
2025-09,,41.7,16208.1,15835.6,21378.1
2025-10,,87.3,17326.6,18084.0,24413.4
2025-11,,187.9,17611.9,17861.2,24112.6
2025-12,,65.7,17867.0,17989.8,24286.2
2026-01,,72.1,18511.3,18076.4,24403.1
2026-02,,165.1,18785.6,17967.2,24255.7
2026-03,,148.9,18019.6,17943.8,24224.1
2026-04,,109.3,15527.3,16091.6,21723.7
2026-05,,125.9,16701.3,16040.8,21655.1
2026-06,,91.7,16394.4,16047.1,21663.6
2026-07,,155.4,13898.8,14424.1,19472.5
2026-08,,69.4,14412.6,14622.7,19740.6
