guid,voucher_guid,stock_item_name,qty_qtl,rate
AV00001-1,AV00001,Rice Husk,2579.0,1977
AV00002-1,AV00002,Rice Husk,2252.0,1953
AV00003-1,AV00003,Rice Husk,2301.0,1924
AV00004-1,AV00004,Rice Husk,2416.0,2006
AV00005-1,AV00005,Rice Husk,2358.0,1956
AV00006-1,AV00006,Rice Husk,2155.0,1959
AV00007-1,AV00007,Rice Husk,2121.0,1951
AV00008-1,AV00008,Rice Husk,2519.0,1908
AV00009-1,AV00009,Rice Husk,2247.0,1925
AV00010-1,AV00010,Rice Husk,2364.0,1954
AV00011-1,AV00011,Rice Husk,2181.0,1980
AV00012-1,AV00012,Rice Husk,2709.0,1998
AV00013-1,AV00013,Rice Husk,2155.0,1945
AV00014-1,AV00014,Rice Husk,2602.0,1893
AV00015-1,AV00015,Rice Husk,2215.0,1961
AV00016-1,AV00016,Rice Husk,2797.0,1983
AV00017-1,AV00017,Rice Husk,2272.0,2002
AV00018-1,AV00018,Rice Husk,2412.0,1936
AV00019-1,AV00019,Rice Husk,2438.0,1974
AV00020-1,AV00020,Rice Husk,2886.0,1915
AV00021-1,AV00021,Rice Husk,2402.0,2002
AV00022-1,AV00022,Rice Husk,2695.0,1895
AV00023-1,AV00023,Rice Husk,2322.0,1933
AV00024-1,AV00024,Rice Husk,2555.0,1908
AV00025-1,AV00025,Rice Husk,2265.0,1905
AV00026-1,AV00026,Rice Husk,2437.0,1984
AV00027-1,AV00027,Rice Husk,2331.0,1969
AV00028-1,AV00028,Rice Husk,2694.0,1931
AV00029-1,AV00029,Rice Husk,2754.0,1953
AV00030-1,AV00030,Rice Husk,2274.0,1934
AV00031-1,AV00031,Rice Husk,2504.0,1935
AV00032-1,AV00032,Rice Husk,2514.0,1900
AV00033-1,AV00033,Rice Husk,2630.0,1918
AV00034-1,AV00034,Rice Husk,2782.0,1998
AV00035-1,AV00035,Rice Husk,2463.0,1942
AV00036-1,AV00036,Rice Husk,2835.0,1986
AV00037-1,AV00037,Rice Husk,2404.0,1953
AV00038-1,AV00038,Rice Husk,2858.0,1901
AV00039-1,AV00039,Rice Husk,2392.0,1984
AV00040-1,AV00040,Rice Husk,2465.0,1949
AV00041-1,AV00041,Rice Husk,2482.0,1991
AV00042-1,AV00042,Rice Husk,2344.0,1904
AV00043-1,AV00043,Rice Husk,2694.0,1937
AV00044-1,AV00044,Rice Husk,2544.0,1909
AV00045-1,AV00045,Rice Husk,2205.0,1926
AV00046-1,AV00046,Rice Husk,2376.0,2004
AV00047-1,AV00047,Rice Husk,2860.0,2003
AV00048-1,AV00048,Rice Husk,2560.0,2002
AV00049-1,AV00049,Mustard Stalk,2128.0,2210
AV00050-1,AV00050,Mustard Stalk,2034.0,2307
AV00051-1,AV00051,Mustard Stalk,2190.0,2214
AV00052-1,AV00052,Mustard Stalk,2280.0,2263
AV00053-1,AV00053,Mustard Stalk,2372.0,2272
AV00054-1,AV00054,Mustard Stalk,2462.0,2292
AV00055-1,AV00055,Mustard Stalk,2435.0,2284
AV00056-1,AV00056,Mustard Stalk,2247.0,2269
AV00057-1,AV00057,Mustard Stalk,1970.0,2274
AV00058-1,AV00058,Mustard Stalk,2482.0,2228
AV00059-1,AV00059,Mustard Stalk,2204.0,2280
AV00060-1,AV00060,Mustard Stalk,1915.0,2300
AV00061-1,AV00061,Mustard Stalk,2044.0,2204
AV00062-1,AV00062,Mustard Stalk,2068.0,2233
AV00063-1,AV00063,Mustard Stalk,1979.0,2302
AV00064-1,AV00064,Mustard Stalk,1952.0,2289
AV00065-1,AV00065,Mustard Stalk,2411.0,2265
AV00066-1,AV00066,Mustard Stalk,2111.0,2254
AV00067-1,AV00067,Mustard Stalk,2313.0,2286
AV00068-1,AV00068,Mustard Stalk,2549.0,2278
AV00069-1,AV00069,Mustard Stalk,1984.0,2180
AV00070-1,AV00070,Rice Husk,2095.0,1952
AV00071-1,AV00071,Rice Husk,2073.0,2043
AV00072-1,AV00072,Rice Husk,2160.0,2024
AV00073-1,AV00073,Rice Husk,2023.0,2039
AV00074-1,AV00074,Rice Husk,1849.0,2051
AV00075-1,AV00075,Rice Husk,2048.0,2014
AV00076-1,AV00076,Rice Husk,2273.0,1957
AV00077-1,AV00077,Rice Husk,2271.0,2036
AV00078-1,AV00078,Rice Husk,2135.0,2062
AV00079-1,AV00079,Rice Husk,2143.0,2064
AV00080-1,AV00080,Rice Husk,2068.0,1989
AV00081-1,AV00081,Rice Husk,2206.0,1965
AV00082-1,AV00082,Rice Husk,2094.0,1971
AV00083-1,AV00083,Rice Husk,1788.0,2063
AV00084-1,AV00084,Rice Husk,1779.0,1994
AV00085-1,AV00085,Rice Husk,1906.0,2042
AV00086-1,AV00086,Rice Husk,1751.0,2017
AV00087-1,AV00087,Rice Husk,2299.0,1994
AV00088-1,AV00088,Rice Husk,2310.0,1978
AV00089-1,AV00089,Rice Husk,1744.0,2067
AV00090-1,AV00090,Rice Husk,2058.0,1984
AV00091-1,AV00091,Rice Husk,2258.0,2032
AV00092-1,AV00092,Rice Husk,1821.0,2065
AV00093-1,AV00093,Rice Husk,1987.0,2059
AV00094-1,AV00094,Rice Husk,2108.0,2067
AV00095-1,AV00095,Rice Husk,2016.0,2041
AV00096-1,AV00096,Rice Husk,1916.0,2035
AV00097-1,AV00097,Rice Husk,2013.0,1992
AV00098-1,AV00098,Rice Husk,2137.0,2025
AV00099-1,AV00099,Rice Husk,2168.0,2032
AV00100-1,AV00100,Rice Husk,1831.0,2001
AV00101-1,AV00101,Rice Husk,2290.0,1969
AV00102-1,AV00102,Rice Husk,2165.0,1981
AV00103-1,AV00103,Rice Husk,1926.0,2013
AV00104-1,AV00104,Rice Husk,1869.0,1961
AV00105-1,AV00105,Rice Husk,2049.0,2030
AV00106-1,AV00106,Rice Husk,2253.0,2001
AV00107-1,AV00107,Rice Husk,1800.0,2039
AV00108-1,AV00108,Rice Husk,2282.0,2021
AV00109-1,AV00109,Rice Husk,1795.0,2043
AV00110-1,AV00110,Rice Husk,1874.0,2068
AV00111-1,AV00111,Rice Husk,2090.0,2013
AV00112-1,AV00112,Rice Husk,1898.0,2063
AV00113-1,AV00113,Rice Husk,2172.0,1998
AV00114-1,AV00114,Rice Husk,2129.0,2050
AV00115-1,AV00115,Rice Husk,2287.0,1949
AV00116-1,AV00116,Rice Husk,1933.0,2000
AV00117-1,AV00117,Rice Husk,2072.0,2036
AV00118-1,AV00118,Rice Husk,1770.0,1952
AV00119-1,AV00119,Rice Husk,1690.0,1958
AV00120-1,AV00120,Rice Husk,1889.0,1983
AV00121-1,AV00121,Rice Husk,1781.0,2058
AV00122-1,AV00122,Rice Husk,1824.0,1965
AV00123-1,AV00123,Rice Husk,1874.0,1998
AV00124-1,AV00124,Rice Husk,1809.0,2014
AV00125-1,AV00125,Rice Husk,2139.0,2016
AV00126-1,AV00126,Rice Husk,2037.0,2060
AV00127-1,AV00127,Rice Husk,1743.0,1991
AV00128-1,AV00128,Rice Husk,2267.0,2026
AV00129-1,AV00129,Rice Husk,2254.0,2001
AV00130-1,AV00130,Rice Husk,1811.0,1954
AV00131-1,AV00131,Rice Husk,2017.0,2049
AV00132-1,AV00132,Rice Husk,1846.0,1973
AV00133-1,AV00133,Rice Husk,2235.0,2050
AV00134-1,AV00134,Rice Husk,1874.0,2010
AV00135-1,AV00135,Rice Husk,1921.0,2010
AV00136-1,AV00136,Rice Husk,1942.0,1970
AV00137-1,AV00137,Rice Husk,2192.0,2023
AV00138-1,AV00138,Rice Husk,2061.0,1984
AV00139-1,AV00139,Rice Husk,2308.0,1995
AV00140-1,AV00140,Rice Husk,2214.0,2039
AV00141-1,AV00141,Rice Husk,2024.0,1982
AV00142-1,AV00142,Rice Husk,2222.0,1973
AV00143-1,AV00143,Rice Husk,1939.0,1993
AV00144-1,AV00144,Rice Husk,1815.0,2048
AV00145-1,AV00145,Rice Husk,2128.0,2013
AV00146-1,AV00146,Rice Husk,2209.0,1956
AV00147-1,AV00147,Rice Husk,2076.0,2029
AV00148-1,AV00148,Rice Husk,1682.0,1971
AV00149-1,AV00149,Rice Husk,1700.0,2050
AV00150-1,AV00150,Rice Husk,2066.0,1959
AV00151-1,AV00151,Rice Husk,1954.0,1991
AV00152-1,AV00152,Mustard Stalk,2208.0,2251
AV00153-1,AV00153,Mustard Stalk,2503.0,2359
AV00154-1,AV00154,Mustard Stalk,2513.0,2358
AV00155-1,AV00155,Mustard Stalk,1978.0,2344
AV00156-1,AV00156,Mustard Stalk,2262.0,2346
AV00157-1,AV00157,Mustard Stalk,2542.0,2356
AV00158-1,AV00158,Mustard Stalk,2534.0,2261
AV00159-1,AV00159,Mustard Stalk,2030.0,2293
AV00160-1,AV00160,Mustard Stalk,2574.0,2361
AV00161-1,AV00161,Mustard Stalk,2597.0,2264
AV00162-1,AV00162,Mustard Stalk,1936.0,2323
AV00163-1,AV00163,Mustard Stalk,2031.0,2244
AV00164-1,AV00164,Mustard Stalk,2620.0,2319
AV00165-1,AV00165,Mustard Stalk,2143.0,2278
AV00166-1,AV00166,Mustard Stalk,2115.0,2288
AV00167-1,AV00167,Mustard Stalk,1981.0,2294
AV00168-1,AV00168,Mustard Stalk,2507.0,2250
AV00169-1,AV00169,Mustard Stalk,2522.0,2284
AV00170-1,AV00170,Mustard Stalk,2543.0,2354
AV00171-1,AV00171,Mustard Stalk,2578.0,2317
AV00172-1,AV00172,Mustard Stalk,1928.0,2360
AV00173-1,AV00173,Mustard Stalk,2269.0,2365
AV00174-1,AV00174,Mustard Stalk,2198.0,2244
AV00175-1,AV00175,Mustard Stalk,2015.0,2249
AV00176-1,AV00176,Mustard Stalk,2054.0,2367
AV00177-1,AV00177,Mustard Stalk,2699.0,2320
AV00178-1,AV00178,Mustard Stalk,1933.0,2266
AV00179-1,AV00179,Mustard Stalk,2558.0,2270
AV00180-1,AV00180,Rice Husk,2366.0,2038
AV00181-1,AV00181,Rice Husk,2417.0,2085
AV00182-1,AV00182,Rice Husk,2801.0,2085
AV00183-1,AV00183,Rice Husk,2774.0,2032
AV00184-1,AV00184,Rice Husk,2440.0,2017
AV00185-1,AV00185,Rice Husk,2362.0,2108
AV00186-1,AV00186,Rice Husk,2375.0,2075
AV00187-1,AV00187,Rice Husk,2352.0,2110
AV00188-1,AV00188,Rice Husk,2450.0,2041
AV00189-1,AV00189,Rice Husk,2579.0,2124
AV00190-1,AV00190,Rice Husk,2551.0,2056
AV00191-1,AV00191,Rice Husk,2613.0,2020
AV00192-1,AV00192,Rice Husk,2245.0,2112
AV00193-1,AV00193,Rice Husk,2407.0,2125
AV00194-1,AV00194,Rice Husk,2604.0,2090
AV00195-1,AV00195,Rice Husk,2127.0,2018
AV00196-1,AV00196,Rice Husk,2680.0,2049
AV00197-1,AV00197,Rice Husk,2206.0,2065
AV00198-1,AV00198,Rice Husk,2645.0,2105
AV00199-1,AV00199,Rice Husk,2130.0,2023
AV00200-1,AV00200,Rice Husk,2637.0,2060
AV00201-1,AV00201,Rice Husk,2364.0,2116
AV00202-1,AV00202,Rice Husk,2241.0,2091
AV00203-1,AV00203,Rice Husk,2264.0,2105
AV00204-1,AV00204,Rice Husk,2572.0,2089
AV00205-1,AV00205,Rice Husk,2370.0,2024
AV00206-1,AV00206,Rice Husk,2568.0,2056
AV00207-1,AV00207,Rice Husk,2391.0,2126
AV00208-1,AV00208,Rice Husk,2458.0,2124
AV00209-1,AV00209,Rice Husk,2694.0,2066
AV00210-1,AV00210,Rice Husk,2123.0,2037
AV00211-1,AV00211,Rice Husk,2168.0,2076
AV00212-1,AV00212,Rice Husk,2128.0,2092
AV00213-1,AV00213,Rice Husk,2761.0,2007
AV00214-1,AV00214,Rice Husk,2411.0,2048
AV00215-1,AV00215,Rice Husk,2498.0,2111
AV00216-1,AV00216,Rice Husk,2129.0,2047
AV00217-1,AV00217,Rice Husk,2515.0,2089
AV00218-1,AV00218,Rice Husk,2483.0,2052
AV00219-1,AV00219,Rice Husk,2151.0,2089
AV00220-1,AV00220,Rice Husk,2527.0,2074
AV00221-1,AV00221,Rice Husk,2565.0,2064
AV00222-1,AV00222,Rice Husk,2360.0,2120
AV00223-1,AV00223,Rice Husk,2273.0,2010
AV00224-1,AV00224,Rice Husk,2593.0,2021
