ledger_name,parent_group,gstin,opening_balance
New Rathore Agro Industries,Sundry Creditors,08AAAAA2000A1Z0,0
New Rajputana Agro Traders,Sundry Creditors,08BHAAA2001A1Z1,0
Sanwariya Krishna Agri Residue Pvt Ltd,Sundry Creditors,,0
Nakoda Marudhar Agri Residue Pvt Ltd,Sundry Creditors,08DVAAA2003A1Z3,0
Maa Ganesh Biomass Co,Sundry Creditors,08ECAAA2004A1Z4,0
Shree Rajputana Trading Co,Sundry Creditors,,0
Maa Bhairav Krishi Udyog,Sundry Creditors,08GQAAA2006A1Z6,0
Salasar Banas Biomass Co,Sundry Creditors,08HXAAA2007A1Z7,0
Salasar Bhairav Trading Co,Sundry Creditors,,0
Maa Krishna Fuels,Sundry Creditors,08JLAAA2009A1Z9,0
Salasar Mahaveer Fuels,Sundry Creditors,08KSAAA2010A1Z0,0
New Rathore Krishi Bhandar,Sundry Creditors,,0
Khatu Rajputana Enterprises,Sundry Creditors,,0
Nakoda Kathiawad Krishi Bhandar,Sundry Creditors,,0
Salasar Luni Agro Company,Sundry Creditors,08OUAAA2014A1Z4,0
Nakoda Banas Krishi Bhandar,Sundry Creditors,,0
New Balaji Krishi Bhandar,Sundry Creditors,08QIAAA2016A1Z6,0
Shri Bhagwati Trading Co,Sundry Creditors,08RPAAA2017A1Z7,0
Salasar Krishna Biomass Suppliers,Sundry Creditors,08SWAAA2018A1Z8,0
Jai Sardar Agro Industries,Sundry Creditors,08TDAAA2019A1Z9,0
Sanwariya Suraj Biomass Suppliers,Sundry Creditors,08UKAAA2020A1Z0,0
Maa Balaji Krishi Bhandar,Sundry Creditors,08VRAAA2021A1Z1,0
Sanwariya Vijay Enterprises,Sundry Creditors,08WYAAA2022A1Z2,0
Khatu Thar Agro Company,Sundry Creditors,08XFAAA2023A1Z3,0
Khatu Jagdamba Agro Industries,Sundry Creditors,,0
Sanwariya Ganesh Agri Residue Pvt Ltd,Sundry Creditors,08ZTAAA2025A1Z5,0
Shree Ramdev Fuels,Sundry Creditors,08AAAAA2026A1Z6,0
Khatu Marudhar Enterprises,Sundry Creditors,08BHAAA2027A1Z7,0
Sanwariya Rathore Agro Company,Sundry Creditors,08COAAA2028A1Z8,0
Salasar Marudhar Krishi Udyog,Sundry Creditors,08DVAAA2029A1Z9,0
Salasar Mahaveer Krishi Udyog,Sundry Creditors,,0
Om Shyam Biomass Suppliers,Sundry Creditors,08FJAAA2031A1Z1,0
Khatu Bhairav Biomass Suppliers,Sundry Creditors,08GQAAA2032A1Z2,0
Shree Luni Trading Co,Sundry Creditors,08HXAAA2033A1Z3,0
Maa Vijay Biomass Co,Sundry Creditors,08IEAAA2034A1Z4,0
Maa Kathiawad Agri Residue Pvt Ltd,Sundry Creditors,08JLAAA2035A1Z5,0
Khatu Shyam Enterprises,Sundry Creditors,08KSAAA2036A1Z6,0
Salasar Deepak Agri Residue Pvt Ltd,Sundry Creditors,,0
New Bhairav Krishi Udyog,Sundry Creditors,08MGAAA2038A1Z8,0
New Bhagwati Krishi Bhandar,Sundry Creditors,08NNAAA2039A1Z9,0
Shree Sardar Agro Company,Sundry Creditors,08OUAAA2040A1Z0,0
Maa Shyam Biomass Suppliers,Sundry Creditors,24PBAAA2041A1Z1,0
Sanwariya Govind Agro Industries,Sundry Creditors,24QIAAA2042A1Z2,0
Jai Rathore Agro Traders,Sundry Creditors,24RPAAA2043A1Z3,0
Jai Thar Fuels,Sundry Creditors,24SWAAA2044A1Z4,0
Khatu Vijay Biomass Suppliers,Sundry Creditors,24TDAAA2045A1Z5,0
Shree Laxmi Biomass Suppliers,Sundry Creditors,24UKAAA2046A1Z6,0
Maa Balaji Trading Co,Sundry Creditors,24VRAAA2047A1Z7,0
Nakoda Ramdev Trading Co,Sundry Creditors,24WYAAA2048A1Z8,0
New Govind Agro Company,Sundry Creditors,24XFAAA2049A1Z9,0
Khatu Rathore Biomass Co,Sundry Creditors,24YMAAA2050A1Z0,0
Salasar Saurashtra Biomass Suppliers,Sundry Creditors,24ZTAAA2051A1Z1,0
Jai Rathore Krishi Bhandar,Sundry Creditors,24AAAAA2052A1Z2,0
New Banas Biomass Co,Sundry Creditors,24BHAAA2053A1Z3,0
Shree Vijay Agro Traders,Sundry Creditors,24COAAA2054A1Z4,0
NTPC Sipat,Sundry Debtors,,0
NTPC Korba,Sundry Debtors,,0
NTPC Mouda,Sundry Debtors,,0
NTPC North Karanpura,Sundry Debtors,,0
NTPC Darlipali,Sundry Debtors,,0
NTPC Lara,Sundry Debtors,,0
NTPC Gadarwara,Sundry Debtors,,0
Suratgarh STPS,Sundry Debtors,,0
Nagaur Cement,Sundry Debtors,,0
Jaipur Bottling,Sundry Debtors,,0
Bhilwara Paper,Sundry Debtors,,0
Kota Textile,Sundry Debtors,,0
