guid,voucher_type,vch_no,vch_date,ledger_name,amount,dr_cr,narration,entered_at
AV00001,Purchase,1,04-Apr-2023,Shree Rajputana Trading Co,509868.3,Dr,husk purchase,04-Apr-2023
AV00002,Purchase,2,16-Apr-2023,Sanwariya Rathore Agro Company,439815.6,Dr,husk purchase,16-Apr-2023
AV00003,Purchase,3,13-Apr-2023,Salasar Mahaveer Krishi Udyog,442712.4,Dr,husk purchase,13-Apr-2023
AV00004,Purchase,4,24-Apr-2023,Salasar Saurashtra Biomass Suppliers,484649.6,Dr,husk purchase,24-Apr-2023
AV00005,Purchase,5,07-Apr-2023,Salasar Saurashtra Biomass Suppliers,461224.8,Dr,husk purchase,07-Apr-2023
AV00006,Purchase,6,12-Apr-2023,New Rajputana Agro Traders,422164.5,Dr,husk purchase,12-Apr-2023
AV00007,Purchase,7,12-Apr-2023,Khatu Shyam Enterprises,413807.1,Dr,husk purchase,12-Apr-2023
AV00008,Purchase,8,22-Apr-2023,Khatu Vijay Biomass Suppliers,480625.2,Dr,husk purchase,22-Apr-2023
AV00009,Purchase,9,26-Apr-2023,Maa Ganesh Biomass Co,432547.5,Dr,husk purchase,26-Apr-2023
AV00010,Purchase,10,12-Apr-2023,Shree Laxmi Biomass Suppliers,461925.6,Dr,husk purchase,12-Apr-2023
AV00011,Purchase,11,14-Apr-2023,Shree Rajputana Trading Co,431838.0,Dr,husk purchase,14-Apr-2023
AV00012,Purchase,12,13-Apr-2023,New Balaji Krishi Bhandar,541258.2,Dr,husk purchase,13-Apr-2023
AV00013,Purchase,13,17-Apr-2023,Maa Balaji Krishi Bhandar,419147.5,Dr,husk purchase,17-Apr-2023
AV00014,Purchase,14,17-Apr-2023,Khatu Jagdamba Agro Industries,492558.6,Dr,husk purchase,17-Apr-2023
AV00015,Purchase,15,15-Apr-2023,Salasar Deepak Agri Residue Pvt Ltd,434361.5,Dr,husk purchase,15-Apr-2023
AV00016,Purchase,16,11-Apr-2023,Maa Vijay Biomass Co,554645.1,Dr,husk purchase,11-Apr-2023
AV00017,Purchase,17,24-Apr-2023,Shree Luni Trading Co,454854.4,Dr,husk purchase,24-Apr-2023
AV00018,Purchase,18,03-Apr-2023,Maa Balaji Krishi Bhandar,466963.2,Dr,husk purchase,03-Apr-2023
AV00019,Purchase,19,15-Apr-2023,New Rajputana Agro Traders,481261.2,Dr,husk purchase,15-Apr-2023
AV00020,Purchase,20,20-Apr-2023,Salasar Luni Agro Company,552669.0,Dr,husk purchase,20-Apr-2023
AV00021,Purchase,21,07-Apr-2023,Om Shyam Biomass Suppliers,480880.4,Dr,husk purchase,07-Apr-2023
AV00022,Purchase,22,25-Apr-2023,Sanwariya Suraj Biomass Suppliers,510702.5,Dr,husk purchase,25-Apr-2023
AV00023,Purchase,23,13-Apr-2023,Salasar Mahaveer Krishi Udyog,448842.6,Dr,husk purchase,13-Apr-2023
AV00024,Purchase,24,12-Apr-2023,Salasar Saurashtra Biomass Suppliers,487494.0,Dr,husk purchase,12-Apr-2023
AV00025,Purchase,25,07-Apr-2023,Salasar Mahaveer Fuels,431482.5,Dr,husk purchase,07-Apr-2023
AV00026,Purchase,26,16-Apr-2023,Sanwariya Rathore Agro Company,483500.8,Dr,husk purchase,16-Apr-2023
AV00027,Purchase,27,06-Apr-2023,Salasar Krishna Biomass Suppliers,458973.9,Dr,husk purchase,06-Apr-2023
AV00028,Purchase,28,07-Apr-2023,New Rathore Krishi Bhandar,520211.4,Dr,husk purchase,07-Apr-2023
AV00029,Purchase,29,18-Apr-2023,Khatu Shyam Enterprises,537856.2,Dr,husk purchase,18-Apr-2023
AV00030,Purchase,30,16-Apr-2023,Khatu Thar Agro Company,439791.6,Dr,husk purchase,16-Apr-2023
AV00031,Purchase,31,03-Apr-2023,New Balaji Krishi Bhandar,484524.0,Dr,husk purchase,03-Apr-2023
AV00032,Purchase,32,27-Apr-2023,Sanwariya Rathore Agro Company,477660.0,Dr,husk purchase,27-Apr-2023
AV00033,Purchase,33,14-Apr-2023,Shree Vijay Agro Traders,504434.0,Dr,husk purchase,14-Apr-2023
AV00034,Purchase,34,04-Apr-2023,Shree Laxmi Biomass Suppliers,555843.6,Dr,husk purchase,04-Apr-2023
AV00035,Purchase,35,09-Apr-2023,Shree Luni Trading Co,478314.6,Dr,husk purchase,09-Apr-2023
AV00036,Purchase,36,08-Apr-2023,Maa Vijay Biomass Co,563031.0,Dr,husk purchase,08-Apr-2023
AV00037,Purchase,37,24-Apr-2023,Om Shyam Biomass Suppliers,469501.2,Dr,husk purchase,24-Apr-2023
