tender_ref,plant,grade_code,tonnes,window_start,window_end,rate_per_t,freight_per_t,quoted_gcv,option_pct,contract_type,loa_no
T-23-01,NTPC Sipat,PLT-B2,23600,2023-04-01,2024-03-31,8020,1880,3200,0.25,cumulative,LOA/T-23-01
C-23-42,Kota Textile,PLT-B2,7300,2023-04-01,2024-03-31,6940,600,3000,0.0,scheduled,LOA/C-23-42
T-23-05,NTPC Korba,PLT-B2,25300,2023-04-01,2024-03-31,7390,1640,3200,0.25,cumulative,LOA/T-23-05
T-23-09,NTPC Mouda,PLT-A1,24200,2023-04-01,2024-03-31,7120,1450,3200,0.25,cumulative,LOA/T-23-09
T-23-13,NTPC North Karanpura,PLT-T1,24200,2023-04-01,2024-03-31,7400,1720,3200,0.25,cumulative,LOA/T-23-13
T-23-17,NTPC Darlipali,PLT-T1,25200,2023-04-01,2024-03-31,6930,1810,3200,0.25,cumulative,LOA/T-23-17
T-23-21,NTPC Lara,PLT-B2,21700,2023-04-01,2024-03-31,8180,1690,3200,0.25,cumulative,LOA/T-23-21
T-23-24,NTPC Gadarwara,PLT-T1,23400,2023-04-01,2024-03-31,8110,1380,3200,0.25,cumulative,LOA/T-23-24
T-23-27,Suratgarh STPS,PLT-B2,20500,2023-04-01,2024-03-31,7250,740,3100,0.25,cumulative,LOA/T-23-27
C-23-35,Jaipur Bottling,PLT-B2,6100,2023-06-01,2024-05-31,7940,780,3300,0.0,scheduled,LOA/C-23-35
C-23-31,Nagaur Cement,PLT-T1,7400,2023-06-01,2024-05-31,7970,620,3100,0.0,scheduled,LOA/C-23-31
C-23-39,Bhilwara Paper,PLT-A1,6000,2023-07-01,2024-06-30,8140,540,3000,0.0,scheduled,LOA/C-23-39
T-24-02,NTPC Sipat,PLT-A1,25800,2024-04-01,2025-03-31,8590,1880,3200,0.25,cumulative,LOA/T-24-02
C-24-43,Kota Textile,PLT-B2,5900,2024-04-01,2025-03-31,7540,600,3000,0.0,scheduled,LOA/C-24-43
T-24-06,NTPC Korba,PLT-B2,24200,2024-04-01,2025-03-31,7700,1640,3200,0.25,cumulative,LOA/T-24-06
T-24-10,NTPC Mouda,PLT-T1,22500,2024-04-01,2025-03-31,7980,1450,3200,0.25,cumulative,LOA/T-24-10
T-24-14,NTPC North Karanpura,PLT-A1,22100,2024-04-01,2025-03-31,7450,1720,3200,0.25,cumulative,LOA/T-24-14
T-24-18,NTPC Darlipali,PLT-A1,23300,2024-04-01,2025-03-31,8160,1810,3200,0.25,cumulative,LOA/T-24-18
T-24-25,NTPC Gadarwara,PLT-B2,21500,2024-04-01,2025-03-31,7580,1380,3200,0.25,cumulative,LOA/T-24-25
T-24-28,Suratgarh STPS,PLT-T1,21100,2024-04-01,2025-03-31,7790,740,3100,0.25,cumulative,LOA/T-24-28
C-24-36,Jaipur Bottling,PLT-T1,8300,2024-06-01,2025-05-31,7770,780,3300,0.0,scheduled,LOA/C-24-36
C-24-32,Nagaur Cement,PLT-T1,5600,2024-06-01,2025-05-31,7530,620,3100,0.0,scheduled,LOA/C-24-32
C-24-40,Bhilwara Paper,PLT-B2,8100,2024-07-01,2025-06-30,7670,540,3000,0.0,scheduled,LOA/C-24-40
T-25-03,NTPC Sipat,PLT-A1,23600,2025-04-01,2026-03-31,8270,1880,3200,0.25,cumulative,LOA/T-25-03
C-25-44,Kota Textile,PLT-T1,8900,2025-04-01,2026-03-31,7780,600,3000,0.0,scheduled,LOA/C-25-44
