tender_ref,month,qty_t
C-23-20,2023-04,600
C-23-20,2023-05,600
C-23-20,2023-06,600
C-23-20,2023-07,600
C-23-20,2023-08,600
C-23-20,2023-09,600
C-23-20,2023-10,600
C-23-20,2023-11,600
C-23-20,2023-12,600
C-23-20,2024-01,600
C-23-20,2024-02,600
C-23-20,2024-03,500.0
C-23-08,2023-05,500
C-23-08,2023-06,500
C-23-08,2023-07,500
C-23-08,2023-08,500
C-23-08,2023-09,500
C-23-08,2023-10,500
C-23-08,2023-11,500
C-23-08,2023-12,500
C-23-08,2024-01,500
C-23-08,2024-02,500
C-23-08,2024-03,500
C-23-08,2024-04,400.0
C-23-12,2023-05,525
C-23-12,2023-06,525
C-23-12,2023-07,525
C-23-12,2023-08,525
C-23-12,2023-09,525
C-23-12,2023-10,525
C-23-12,2023-11,525
C-23-12,2023-12,525
C-23-12,2024-01,525
C-23-12,2024-02,525
C-23-12,2024-03,525
C-23-12,2024-04,625.0
C-23-16,2023-07,450
C-23-16,2023-08,450
C-23-16,2023-09,450
C-23-16,2023-10,450
C-23-16,2023-11,450
C-23-16,2023-12,450
C-23-16,2024-01,450
C-23-16,2024-02,450
C-23-16,2024-03,450
C-23-16,2024-04,450
C-23-16,2024-05,450
C-23-16,2024-06,550.0
C-24-21,2024-04,400
C-24-21,2024-05,400
C-24-21,2024-06,400
C-24-21,2024-07,400
C-24-21,2024-08,400
C-24-21,2024-09,400
C-24-21,2024-10,400
C-24-21,2024-11,400
C-24-21,2024-12,400
C-24-21,2025-01,400
C-24-21,2025-02,400
C-24-21,2025-03,300.0
C-24-09,2024-05,475
C-24-09,2024-06,475
C-24-09,2024-07,475
C-24-09,2024-08,475
C-24-09,2024-09,475
C-24-09,2024-10,475
C-24-09,2024-11,475
C-24-09,2024-12,475
C-24-09,2025-01,475
C-24-09,2025-02,475
C-24-09,2025-03,475
C-24-09,2025-04,575.0
C-24-13,2024-05,400
C-24-13,2024-06,400
C-24-13,2024-07,400
C-24-13,2024-08,400
C-24-13,2024-09,400
C-24-13,2024-10,400
C-24-13,2024-11,400
C-24-13,2024-12,400
C-24-13,2025-01,400
C-24-13,2025-02,400
C-24-13,2025-03,400
C-24-13,2025-04,500.0
C-24-17,2024-07,525
C-24-17,2024-08,525
C-24-17,2024-09,525
C-24-17,2024-10,525
C-24-17,2024-11,525
C-24-17,2024-12,525
C-24-17,2025-01,525
C-24-17,2025-02,525
C-24-17,2025-03,525
C-24-17,2025-04,525
C-24-17,2025-05,525
C-24-17,2025-06,625.0
C-25-22,2025-04,600
C-25-22,2025-05,600
C-25-22,2025-06,600
C-25-22,2025-07,600
C-25-22,2025-08,600
C-25-22,2025-09,600
C-25-22,2025-10,600
C-25-22,2025-11,600
C-25-22,2025-12,600
C-25-22,2026-01,600
C-25-22,2026-02,600
C-25-22,2026-03,700.0
C-25-10,2025-05,525
C-25-10,2025-06,525
C-25-10,2025-07,525
C-25-10,2025-08,525
C-25-10,2025-09,525
C-25-10,2025-10,525
C-25-10,2025-11,525
C-25-10,2025-12,525
C-25-10,2026-01,525
C-25-10,2026-02,525
C-25-10,2026-03,525
C-25-10,2026-04,625.0
C-25-14,2025-05,450
C-25-14,2025-06,450
C-25-14,2025-07,450
C-25-14,2025-08,450
C-25-14,2025-09,450
C-25-14,2025-10,450
C-25-14,2025-11,450
C-25-14,2025-12,450
C-25-14,2026-01,450
C-25-14,2026-02,450
C-25-14,2026-03,450
C-25-14,2026-04,450.0
C-25-18,2025-07,525
C-25-18,2025-08,525
C-25-18,2025-09,525
C-25-18,2025-10,525
C-25-18,2025-11,525
C-25-18,2025-12,525
C-25-18,2026-01,525
C-25-18,2026-02,525
C-25-18,2026-03,525
C-25-18,2026-04,525
C-25-18,2026-05,525
C-25-18,2026-06,525.0
C-26-23,2026-04,475
C-26-23,2026-05,475
C-26-23,2026-06,475
C-26-23,2026-07,475
C-26-23,2026-08,475
C-26-23,2026-09,475
C-26-23,2026-10,475
C-26-23,2026-11,475
C-26-23,2026-12,475
C-26-23,2027-01,475
C-26-23,2027-02,475
C-26-23,2027-03,375.0
C-26-11,2026-05,375
C-26-11,2026-06,375
C-26-11,2026-07,375
C-26-11,2026-08,375
C-26-11,2026-09,375
C-26-11,2026-10,375
C-26-11,2026-11,375
C-26-11,2026-12,375
C-26-11,2027-01,375
C-26-11,2027-02,375
C-26-11,2027-03,375
C-26-11,2027-04,375.0
C-26-15,2026-05,425
C-26-15,2026-06,425
C-26-15,2026-07,425
C-26-15,2026-08,425
C-26-15,2026-09,425
C-26-15,2026-10,425
C-26-15,2026-11,425
C-26-15,2026-12,425
C-26-15,2027-01,425
C-26-15,2027-02,425
C-26-15,2027-03,425
C-26-15,2027-04,325.0
C-26-19,2026-07,525
C-26-19,2026-08,525
C-26-19,2026-09,525
C-26-19,2026-10,525
C-26-19,2026-11,525
C-26-19,2026-12,525
C-26-19,2027-01,525
C-26-19,2027-02,525
C-26-19,2027-03,525
C-26-19,2027-04,525
C-26-19,2027-05,525
C-26-19,2027-06,625.0
