dispatch_no,dispatch_date,vehicle_no,grade_code,destination,tender_ref,qty_gross_t,qty_net_t,invoice_no
DR00001,2023-04-18,GJ24GA3331,PLT-D4,UKAI TPS,T-23-01,928.17,901.9,INV00001
DR00002,2023-04-10,GJ11GA7013,PLT-D4,UKAI TPS,T-23-01,958.81,939.8,INV00002
DR00003,2023-04-10,GJ12GA3599,PLT-D4,SIKKA TPS,T-23-05,877.68,854.3,INV00003
DR00004,2023-04-17,GJ21GA7135,PLT-D4,SIKKA TPS,T-23-05,982.01,954.0,INV00004
DR00005,2023-04-15,GJ27GA8712,PLT-C3,KUTCH,C-23-20,609.9,591.7,INV00005
DR00006,2023-05-10,GJ06GA2507,PLT-D4,UKAI TPS,T-23-01,941.39,916.2,INV00006
DR00007,2023-05-19,GJ25GA6786,PLT-D4,UKAI TPS,,951.71,925.5,INV00007
DR00008,2023-05-27,GJ26GA4048,PLT-D4,SIKKA TPS,T-23-05,926.44,907.6,INV00008
DR00009,2023-05-14,GJ07GA4262,PLT-D4,SIKKA TPS,T-23-05,923.93,900.7,INV00009
DR00010,2023-05-19,GJ22GA9491,PLT-C3,KUTCH,C-23-20,610.5,591.7,INV00010
DR00011,2023-05-03,GJ03GA6841,PLT-D4,MORBI CLUSTER,C-23-08,505.6,491.7,INV00011
DR00012,2023-05-08,GJ24GA2342,PLT-D4,ANKLESHWAR,C-23-12,547.88,533.3,INV00012
DR00013,2023-06-11,GJ03GA4835,PLT-D4,UKAI TPS,T-23-01,865.19,842.2,INV00013
DR00014,2023-06-18,GJ10GA9832,PLT-D4,UKAI TPS,T-23-01,1034.52,999.5,INV00014
DR00015,2023-06-07,GJ13GA7428,PLT-D4,SIKKA TPS,T-23-05,986.8,950.0,INV00015
DR00016,2023-06-17,GJ21GA7320,PLT-D4,SIKKA TPS,T-23-05,889.95,858.3,INV00016
DR00017,2023-06-04,GJ07GA2528,PLT-C3,KUTCH,C-23-20,614.77,591.7,INV00017
DR00018,2023-06-02,GJ12GA7200,PLT-D4,MORBI CLUSTER,,511.32,491.7,INV00018
DR00019,2023-06-18,GJ20GA5244,PLT-D4,ANKLESHWAR,,545.22,533.3,INV00019
DR00020,2023-07-06,GJ24GA3017,PLT-D4,UKAI TPS,,917.96,882.9,INV00020
DR00021,2023-07-23,GJ19GA3465,PLT-D4,UKAI TPS,T-23-01,985.21,958.8,INV00021
DR00022,2023-07-25,GJ21GA2109,PLT-D4,SIKKA TPS,T-23-05,603.39,587.0,INV00022
DR00023,2023-07-03,GJ17GA8364,PLT-D4,SIKKA TPS,T-23-05,649.84,635.7,INV00023
DR00024,2023-07-25,GJ17GA6713,PLT-D4,SIKKA TPS,T-23-05,605.18,585.6,INV00024
DR00025,2023-07-14,GJ08GA3485,PLT-C3,KUTCH,C-23-20,604.91,591.7,INV00025
DR00026,2023-07-05,GJ27GA5160,PLT-D4,MORBI CLUSTER,C-23-08,506.62,491.7,INV00026
DR00027,2023-07-02,GJ13GA7794,PLT-D4,ANKLESHWAR,C-23-12,552.67,533.3,INV00027
DR00028,2023-07-05,GJ23GA4015,PLT-D4,VAPI,C-23-16,468.91,458.3,INV00028
DR00029,2023-08-21,GJ12GA6180,PLT-D4,UKAI TPS,T-23-01,948.38,917.6,INV00029
DR00030,2023-08-26,GJ27GA8812,PLT-D4,UKAI TPS,T-23-01,958.8,924.1,INV00030
DR00031,2023-08-11,GJ26GA5669,PLT-D4,SIKKA TPS,T-23-05,913.11,882.2,INV00031
DR00032,2023-08-16,GJ27GA8702,PLT-D4,SIKKA TPS,T-23-05,957.12,926.1,INV00032
DR00033,2023-08-26,GJ20GA7520,PLT-C3,KUTCH,C-23-20,608.72,591.7,INV00033
DR00034,2023-08-03,GJ24GA6190,PLT-D4,MORBI CLUSTER,,510.97,491.7,INV00034
DR00035,2023-08-04,GJ25GA5203,PLT-D4,ANKLESHWAR,C-23-12,546.38,533.3,INV00035
DR00036,2023-08-24,GJ15GA9738,PLT-D4,VAPI,C-23-16,472.58,458.3,INV00036
DR00037,2023-09-18,GJ25GA3786,PLT-D4,UKAI TPS,T-23-01,876.98,850.8,INV00037
DR00038,2023-09-25,GJ08GA7015,PLT-D4,UKAI TPS,T-23-01,1019.53,990.9,INV00038
DR00039,2023-09-09,GJ13GA1349,PLT-D4,SIKKA TPS,T-23-05,1025.92,989.0,INV00039
DR00040,2023-09-12,GJ06GA6890,PLT-D4,SIKKA TPS,T-23-05,841.9,819.3,INV00040
DR00041,2023-09-11,GJ16GA2126,PLT-C3,KUTCH,C-23-20,604.22,591.7,INV00041
DR00042,2023-09-10,GJ25GA3253,PLT-D4,MORBI CLUSTER,C-23-08,508.46,491.7,INV00042
DR00043,2023-09-10,GJ10GA5974,PLT-D4,ANKLESHWAR,C-23-12,547.76,533.3,INV00043
DR00044,2023-09-21,GJ04GA1416,PLT-D4,VAPI,C-23-16,471.84,458.3,INV00044
DR00045,2023-10-14,GJ13GA9670,PLT-D4,UKAI TPS,T-23-01,1030.71,1001.6,INV00045
DR00046,2023-10-14,GJ23GA8321,PLT-D4,UKAI TPS,,869.06,840.1,INV00046
DR00047,2023-10-06,GJ11GA8708,PLT-D4,SIKKA TPS,T-23-05,997.96,969.9,INV00047
DR00048,2023-10-07,GJ11GA2473,PLT-D4,SIKKA TPS,T-23-05,866.89,838.4,INV00048
DR00049,2023-10-06,GJ06GA7415,PLT-C3,KUTCH,C-23-20,609.61,591.7,INV00049
DR00050,2023-10-22,GJ17GA4763,PLT-D4,MORBI CLUSTER,C-23-08,510.04,491.7,INV00050
DR00051,2023-10-12,GJ06GA1747,PLT-D4,ANKLESHWAR,C-23-12,553.09,533.3,INV00051
DR00052,2023-10-02,GJ06GA6317,PLT-D4,VAPI,,469.39,458.3,INV00052
DR00053,2023-11-13,GJ18GA8099,PLT-D4,UKAI TPS,T-23-01,987.35,956.7,INV00053
DR00054,2023-11-12,GJ08GA3495,PLT-D4,UKAI TPS,T-23-01,910.99,885.0,INV00054
DR00055,2023-11-17,GJ06GA4178,PLT-D4,SIKKA TPS,,979.86,944.0,INV00055
DR00056,2023-11-11,GJ02GA4950,PLT-D4,SIKKA TPS,T-23-05,885.88,864.3,INV00056
DR00057,2023-11-15,GJ08GA8495,PLT-C3,KUTCH,C-23-20,606.17,591.7,INV00057
DR00058,2023-11-22,GJ22GA1177,PLT-D4,MORBI CLUSTER,C-23-08,507.57,491.7,INV00058
DR00059,2023-11-05,GJ23GA5781,PLT-D4,ANKLESHWAR,C-23-12,549.72,533.3,INV00059
DR00060,2023-11-19,GJ14GA8613,PLT-D4,VAPI,C-23-16,475.49,458.3,INV00060
DR00061,2023-12-21,GJ26GA6088,PLT-D4,UKAI TPS,T-23-01,867.94,841.3,INV00061
DR00062,2023-12-04,GJ23GA9947,PLT-D4,UKAI TPS,,1033.65,1000.4,INV00062
DR00063,2023-12-26,GJ11GA1944,PLT-D4,SIKKA TPS,T-23-05,979.41,958.0,INV00063
DR00064,2023-12-10,GJ26GA9541,PLT-D4,SIKKA TPS,,875.39,850.3,INV00064
DR00065,2023-12-09,GJ10GA2180,PLT-C3,KUTCH,C-23-20,611.62,591.7,INV00065
DR00066,2023-12-21,GJ09GA5113,PLT-D4,MORBI CLUSTER,C-23-08,504.51,491.7,INV00066
DR00067,2023-12-16,GJ04GA3622,PLT-D4,ANKLESHWAR,C-23-12,548.08,533.3,INV00067
DR00068,2023-12-16,GJ23GA1970,PLT-D4,VAPI,,475.25,458.3,INV00068
DR00069,2024-01-27,GJ18GA8081,PLT-D4,UKAI TPS,T-23-01,967.02,930.9,INV00069
DR00070,2024-01-07,GJ02GA4410,PLT-D4,UKAI TPS,T-23-01,939.0,910.8,INV00070
DR00071,2024-01-14,GJ07GA1556,PLT-D4,SIKKA TPS,T-23-05,962.6,941.7,INV00071
DR00072,2024-01-04,GJ13GA4567,PLT-D4,SIKKA TPS,T-23-05,892.63,866.6,INV00072
DR00073,2024-01-07,GJ17GA6873,PLT-C3,KUTCH,C-23-20,615.0,591.7,INV00073
DR00074,2024-01-21,GJ23GA4066,PLT-D4,MORBI CLUSTER,,506.9,491.7,INV00074
DR00075,2024-01-19,GJ27GA8200,PLT-D4,ANKLESHWAR,,544.62,533.3,INV00075
DR00076,2024-01-22,GJ08GA4101,PLT-D4,VAPI,C-23-16,470.11,458.3,INV00076
DR00077,2024-02-10,GJ26GA3444,PLT-D4,UKAI TPS,T-23-01,1028.88,1001.9,INV00077
DR00078,2024-02-18,GJ26GA5244,PLT-D4,UKAI TPS,T-23-01,869.67,839.8,INV00078
DR00079,2024-02-26,GJ19GA7918,PLT-D4,SIKKA TPS,,887.93,863.6,INV00079
DR00080,2024-02-10,GJ17GA4807,PLT-D4,SIKKA TPS,,968.47,944.7,INV00080
DR00081,2024-02-12,GJ11GA2478,PLT-C3,KUTCH,C-23-20,610.29,591.7,INV00081
DR00082,2024-02-23,GJ06GA6975,PLT-D4,MORBI CLUSTER,C-23-08,503.57,491.7,INV00082
DR00083,2024-02-10,GJ23GA4885,PLT-D4,ANKLESHWAR,C-23-12,550.08,533.3,INV00083
DR00084,2024-02-24,GJ10GA1918,PLT-D4,VAPI,C-23-16,468.19,458.3,INV00084
DR00085,2024-03-11,GJ12GA5517,PLT-D4,UKAI TPS,T-23-01,864.85,834.7,INV00085
DR00086,2024-03-20,GJ27GA9520,PLT-D4,UKAI TPS,T-23-01,1029.76,1007.0,INV00086
DR00087,2024-03-26,GJ20GA4485,PLT-D4,SIKKA TPS,T-23-05,920.58,900.0,INV00087
DR00088,2024-03-11,GJ11GA9044,PLT-D4,SIKKA TPS,T-23-05,930.45,908.3,INV00088
DR00089,2024-03-06,GJ12GA9318,PLT-C3,KUTCH,C-23-20,605.29,591.7,INV00089
DR00090,2024-03-18,GJ12GA1301,PLT-D4,MORBI CLUSTER,C-23-08,507.07,491.7,INV00090
DR00091,2024-03-06,GJ25GA3335,PLT-D4,ANKLESHWAR,C-23-12,549.63,533.3,INV00091
DR00092,2024-03-07,GJ10GA9524,PLT-D4,VAPI,C-23-16,474.84,458.3,INV00092
DR00093,2024-04-07,GJ23GA1197,PLT-D4,MORBI CLUSTER,C-23-08,503.43,491.7,INV00093
DR00094,2024-04-07,GJ12GA3854,PLT-D4,ANKLESHWAR,C-23-12,547.61,533.3,INV00094
DR00095,2024-04-05,GJ20GA2168,PLT-D4,VAPI,,474.64,458.3,INV00095
DR00096,2024-04-10,GJ26GA8844,PLT-C3,UKAI TPS,T-24-02,1490.46,1441.7,INV00096
DR00097,2024-04-16,GJ13GA6196,PLT-D4,SIKKA TPS,T-24-06,965.01,943.4,INV00097
DR00098,2024-04-07,GJ10GA9478,PLT-D4,SIKKA TPS,T-24-06,982.33,956.6,INV00098
DR00099,2024-04-24,GJ03GA3250,PLT-C3,KUTCH,C-24-21,407.22,391.7,INV00099
DR00100,2024-05-09,GJ19GA6210,PLT-D4,VAPI,C-23-16,471.0,458.3,INV00100
DR00101,2024-05-17,GJ13GA2684,PLT-C3,UKAI TPS,T-24-02,1492.34,1441.7,INV00101
DR00102,2024-05-03,GJ24GA8656,PLT-D4,SIKKA TPS,T-24-06,1064.08,1036.4,INV00102
DR00103,2024-05-02,GJ01GA7471,PLT-D4,SIKKA TPS,,893.63,863.6,INV00103
DR00104,2024-05-18,GJ14GA8607,PLT-C3,KUTCH,C-24-21,400.67,391.7,INV00104
DR00105,2024-05-09,GJ09GA9214,PLT-D4,MORBI CLUSTER,C-24-09,493.28,483.3,INV00105
DR00106,2024-05-16,GJ17GA9309,PLT-D4,ANKLESHWAR,,418.14,408.3,INV00106
DR00107,2024-06-19,GJ23GA9541,PLT-D4,VAPI,C-23-16,472.9,458.3,INV00107
DR00108,2024-06-12,GJ07GA3319,PLT-C3,UKAI TPS,T-24-02,1473.0,1441.7,INV00108
DR00109,2024-06-14,GJ26GA7920,PLT-D4,SIKKA TPS,,991.67,967.9,INV00109
DR00110,2024-06-21,GJ04GA2487,PLT-D4,SIKKA TPS,T-24-06,962.02,932.1,INV00110
DR00111,2024-06-15,GJ26GA7993,PLT-C3,KUTCH,C-24-21,400.32,391.7,INV00111
DR00112,2024-06-19,GJ14GA8759,PLT-D4,MORBI CLUSTER,C-24-09,499.76,483.3,INV00112
DR00113,2024-06-04,GJ06GA1780,PLT-D4,ANKLESHWAR,,420.8,408.3,INV00113
DR00114,2024-07-18,GJ21GA7485,PLT-C3,UKAI TPS,,730.08,705.2,INV00114
DR00115,2024-07-06,GJ14GA1758,PLT-C3,UKAI TPS,T-24-02,760.55,736.5,INV00115
DR00116,2024-07-08,GJ08GA3404,PLT-D4,SIKKA TPS,T-24-06,1039.58,1007.0,INV00116
DR00117,2024-07-04,GJ18GA8060,PLT-D4,SIKKA TPS,T-24-06,914.04,893.0,INV00117
DR00118,2024-07-11,GJ19GA7577,PLT-C3,KUTCH,C-24-21,401.48,391.7,INV00118
DR00119,2024-07-19,GJ11GA4746,PLT-D4,MORBI CLUSTER,C-24-09,498.07,483.3,INV00119
DR00120,2024-07-17,GJ09GA9547,PLT-D4,ANKLESHWAR,C-24-13,416.63,408.3,INV00120
DR00121,2024-07-25,GJ02GA2556,PLT-D4,VAPI,C-24-17,547.74,533.3,INV00121
DR00122,2024-08-27,GJ14GA4028,PLT-C3,UKAI TPS,T-24-02,685.92,670.0,INV00122
DR00123,2024-08-25,GJ19GA5533,PLT-C3,UKAI TPS,T-24-02,796.33,771.7,INV00123
DR00124,2024-08-09,GJ16GA6173,PLT-D4,SIKKA TPS,T-24-06,1013.93,991.8,INV00124
DR00125,2024-08-08,GJ19GA7784,PLT-D4,SIKKA TPS,T-24-06,937.92,908.2,INV00125
DR00126,2024-08-25,GJ10GA8359,PLT-C3,KUTCH,C-24-21,402.78,391.7,INV00126
DR00127,2024-08-25,GJ12GA3768,PLT-D4,MORBI CLUSTER,,497.34,483.3,INV00127
DR00128,2024-08-07,GJ24GA7280,PLT-D4,ANKLESHWAR,C-24-13,418.93,408.3,INV00128
DR00129,2024-08-17,GJ21GA4680,PLT-D4,VAPI,C-24-17,546.43,533.3,INV00129
DR00130,2024-09-16,GJ02GA4667,PLT-C3,UKAI TPS,T-24-02,1471.16,1441.7,INV00130
DR00131,2024-09-24,GJ12GA4838,PLT-D4,SIKKA TPS,T-24-06,1018.53,980.0,INV00131
DR00132,2024-09-07,GJ01GA7530,PLT-D4,SIKKA TPS,T-24-06,945.23,920.0,INV00132
DR00133,2024-09-17,GJ02GA3921,PLT-C3,KUTCH,,406.51,391.7,INV00133
DR00134,2024-09-19,GJ20GA7067,PLT-D4,MORBI CLUSTER,C-24-09,499.41,483.3,INV00134
DR00135,2024-09-11,GJ23GA9540,PLT-D4,ANKLESHWAR,C-24-13,424.36,408.3,INV00135
DR00136,2024-09-12,GJ20GA4954,PLT-D4,VAPI,C-24-17,551.66,533.3,INV00136
DR00137,2024-10-06,GJ09GA8001,PLT-C3,UKAI TPS,T-24-02,1487.43,1441.7,INV00137
DR00138,2024-10-05,GJ05GA6263,PLT-D4,SIKKA TPS,T-24-06,984.87,961.2,INV00138
DR00139,2024-10-17,GJ03GA5168,PLT-D4,SIKKA TPS,T-24-06,970.22,938.8,INV00139
DR00140,2024-10-16,GJ20GA4071,PLT-C3,KUTCH,,406.79,391.7,INV00140
DR00141,2024-10-08,GJ21GA6305,PLT-D4,MORBI CLUSTER,C-24-09,494.0,483.3,INV00141
DR00142,2024-10-18,GJ01GA4657,PLT-D4,ANKLESHWAR,C-24-13,419.16,408.3,INV00142
DR00143,2024-10-27,GJ04GA6476,PLT-D4,VAPI,C-24-17,547.31,533.3,INV00143
DR00144,2024-11-05,GJ24GA2660,PLT-C3,UKAI TPS,T-24-02,1472.68,1441.7,INV00144
DR00145,2024-11-08,GJ02GA1308,PLT-D4,SIKKA TPS,T-24-06,934.36,908.3,INV00145
DR00146,2024-11-05,GJ02GA3056,PLT-D4,SIKKA TPS,T-24-06,1016.48,991.7,INV00146
DR00147,2024-11-18,GJ27GA4244,PLT-C3,KUTCH,,400.93,391.7,INV00147
DR00148,2024-11-22,GJ02GA8459,PLT-D4,MORBI CLUSTER,,494.38,483.3,INV00148
DR00149,2024-11-06,GJ13GA8534,PLT-D4,ANKLESHWAR,C-24-13,421.37,408.3,INV00149
DR00150,2024-11-10,GJ10GA9600,PLT-D4,VAPI,C-24-17,547.96,533.3,INV00150
DR00151,2024-12-03,GJ22GA3382,PLT-C3,UKAI TPS,,1480.43,1441.7,INV00151
DR00152,2024-12-19,GJ14GA7028,PLT-D4,SIKKA TPS,T-24-06,943.14,923.9,INV00152
DR00153,2024-12-12,GJ04GA2244,PLT-D4,SIKKA TPS,T-24-06,1002.95,976.1,INV00153
DR00154,2024-12-07,GJ13GA1143,PLT-C3,KUTCH,C-24-21,406.01,391.7,INV00154
DR00155,2024-12-08,GJ18GA2637,PLT-D4,MORBI CLUSTER,C-24-09,500.88,483.3,INV00155
DR00156,2024-12-20,GJ02GA3410,PLT-D4,ANKLESHWAR,C-24-13,420.25,408.3,INV00156
DR00157,2024-12-24,GJ15GA6926,PLT-D4,VAPI,C-24-17,547.36,533.3,INV00157
DR00158,2025-01-21,GJ10GA9019,PLT-C3,UKAI TPS,T-24-02,807.32,780.5,INV00158
DR00159,2025-01-09,GJ18GA7132,PLT-C3,UKAI TPS,T-24-02,681.85,661.2,INV00159
DR00160,2025-01-10,GJ01GA9918,PLT-D4,SIKKA TPS,T-24-06,909.49,886.6,INV00160
DR00161,2025-01-17,GJ18GA1312,PLT-D4,SIKKA TPS,T-24-06,1047.93,1013.4,INV00161
