grn_no,received_date,vendor_name,qty_qtl,rate
GRN00001,2023-04-16,Sardar Bhadar Agro Traders,3424.0,2352
GRN00002,2023-04-14,Jay Chudasama Agri Residue LLP,1471.0,2344
GRN00003,2023-04-13,New Patel Agri Residue LLP,4164.0,2400
GRN00004,2023-05-12,Shree Girnar Krishi Udyog,3415.0,2384
GRN00005,2023-04-19,Somnath Girnar Biofuels,4115.0,2545
GRN00006,2023-04-10,Maa Girnar Krishi Udyog,1170.0,2362
GRN00007,2023-04-26,Shree Saurashtra Biomass LLP,2011.0,2292
GRN00008,2023-04-16,Jay Chudasama Agri Residue LLP,4128.0,2289
GRN00009,2023-04-16,Dwarka Desai Krishi Udyog,1353.0,2615
GRN00010,2023-04-13,Om Chudasama Bioenergy,3314.0,2337
GRN00011,2023-04-17,Jay Chudasama Agri Residue LLP,1710.0,2322
GRN00012,2023-05-06,Somnath Sabar Biofuels,1644.0,2357
GRN00013,2023-04-13,Dwarka Girnar Trading Company,2849.0,2357
GRN00014,2023-05-09,Shree Ambaji Trading Company,2943.0,2470
GRN00015,2023-04-10,Dwarka Gohil Pellet Works,2384.0,2339
GRN00016,2023-04-21,Jay Chudasama Agri Residue LLP,2697.0,2320
GRN00017,2023-04-28,Sardar Sabar Agri Residue LLP,3334.0,2371
GRN00018,2023-05-18,Dwarka Ambaji Trading Company,1665.0,2480
GRN00019,2023-05-06,Om Bhal Trading Company,1778.0,2517
GRN00020,2023-06-08,Somnath Sabar Biofuels,2389.0,2406
GRN00021,2023-06-07,Maa Solanki Krishi Udyog,1863.0,2358
GRN00022,2023-05-27,New Gohil Biomass LLP,2660.0,2369
GRN00023,2023-06-05,Shree Girnar Krishi Udyog,3270.0,2375
GRN00024,2023-05-28,Jay Chudasama Agri Residue LLP,2995.0,2358
GRN00025,2023-05-16,Dwarka Desai Agri Residue LLP,2212.0,2428
GRN00026,2023-06-05,Maa Kathiawad Biomass LLP,4182.0,2476
GRN00027,2023-05-25,Maa Girnar Krishi Udyog,2872.0,2353
GRN00028,2023-05-19,Dwarka Desai Krishi Udyog,2384.0,2671
GRN00029,2023-05-12,Dwarka Girnar Trading Company,3791.0,2417
GRN00030,2023-05-31,Maa Solanki Krishi Udyog,3291.0,2343
GRN00031,2023-05-11,Jay Bhal Agri Residue LLP,3796.0,2410
GRN00032,2023-05-23,Dwarka Desai Krishi Udyog,3870.0,2525
GRN00033,2023-05-27,Jay Sabar Agri Residue LLP,2174.0,2477
GRN00034,2023-05-20,Somnath Girnar Biofuels,2994.0,2597
GRN00035,2023-06-10,Shree Girnar Krishi Udyog,2013.0,2348
GRN00036,2023-05-28,Jay Sabar Agri Residue LLP,1451.0,2401
GRN00037,2023-06-12,Om Chudasama Bioenergy,3443.0,2452
GRN00038,2023-06-27,Dwarka Desai Agri Residue LLP,3721.0,2465
GRN00039,2023-06-13,Dwarka Desai Agri Residue LLP,1682.0,2469
GRN00040,2023-06-18,Dwarka Desai Agri Residue LLP,3819.0,2467
GRN00041,2023-06-10,Sardar Sabar Agri Residue LLP,3660.0,2473
GRN00042,2023-07-06,Om Bhal Trading Company,1443.0,2706
GRN00043,2023-07-12,Somnath Sabar Biofuels,2210.0,2506
GRN00044,2023-06-17,Dwarka Desai Krishi Udyog,3700.0,2712
GRN00045,2023-06-28,Jay Sabar Agri Residue LLP,3168.0,2453
GRN00046,2023-06-28,Om Chudasama Bioenergy,2032.0,2440
GRN00047,2023-06-24,Dwarka Gohil Pellet Works,3263.0,2530
GRN00048,2023-06-12,Om Chudasama Bioenergy,4018.0,2447
GRN00049,2023-06-28,Dwarka Desai Agri Residue LLP,1662.0,2438
GRN00050,2023-06-11,Somnath Girnar Biofuels,1678.0,2604
GRN00051,2023-06-15,New Patel Agri Residue LLP,2152.0,2530
