month,grade_code,opening_stock_t,planned_qty_t,actual_qty_t,feedstock_consumed_t
2023-04,,1047.5,3277.5,3406.6,4360.4
2023-05,,212.4,5222.1,5109.1,6539.6
2023-06,,54.8,5740.5,5426.1,6945.4
2023-07,,214.2,5172.1,4936.8,6319.1
2023-08,,38.5,5368.4,5085.6,6509.6
2023-09,,29.7,5483.7,5178.2,6628.1
2023-10,,46.4,6103.2,5835.1,7468.9
2023-11,,156.5,5955.1,5741.1,7348.6
2023-12,,172.6,5620.9,5770.2,7385.9
2024-01,,217.8,5412.8,5664.8,7250.9
2024-02,,157.6,5487.3,5669.6,7257.1
2024-03,,102.2,6038.1,5767.6,7382.5
2024-04,,144.8,5468.4,5202.3,6658.9
2024-05,,130.4,5041.9,5121.8,6555.9
2024-06,,168.9,4864.1,5006.6,6408.4
2024-07,,92.2,4400.1,4542.9,5814.9
2024-08,,52.9,4624.3,4549.5,5823.4
2024-09,,79.6,4398.5,4592.9,5878.9
2024-10,,61.5,5213.7,5286.3,6766.5
2024-11,,189.5,5366.7,5107.5,6537.6
2024-12,,138.7,5014.6,5084.5,6508.2
2025-01,,64.9,5333.7,5178.7,6628.7
2025-02,,85.3,5372.4,5127.5,6563.2
2025-03,,54.5,5230.5,5231.2,6695.9
2025-04,,127.4,3671.4,3501.6,4482.0
2025-05,,137.5,3370.5,3516.4,4501.0
2025-06,,70.7,3702.1,3630.7,4647.3
2025-07,,118.2,3166.2,3209.1,4107.6
2025-08,,49.4,3226.3,3182.3,4073.3
2025-09,,73.7,3140.8,3204.7,4102.0
2025-10,,75.9,3674.1,3716.1,4756.6
2025-11,,217.1,3296.2,3399.3,4351.1
2025-12,,41.5,3630.1,3746.5,4795.5
2026-01,,213.1,3720.8,3522.2,4508.4
2026-02,,160.4,3603.8,3619.1,4632.4
2026-03,,204.6,3643.1,3493.6,4471.8
2026-04,,123.3,4962.6,5075.3,6496.4
2026-05,,65.2,5208.5,4983.9,6379.4
2026-06,,107.3,5050.1,4926.8,6306.3
2026-07,,92.3,4456.8,4444.3,5688.7
2026-08,,31.7,4382.5,4375.2,5600.3
