guid,voucher_guid,stock_item_name,qty_qtl,rate
BV00001-1,BV00001,Cotton Stalk,2990.0,2369
BV00002-1,BV00002,Cotton Stalk,3078.0,2375
BV00003-1,BV00003,Cotton Stalk,2500.0,2297
BV00004-1,BV00004,Cotton Stalk,2837.0,2330
BV00005-1,BV00005,Cotton Stalk,3050.0,2392
BV00006-1,BV00006,Cotton Stalk,2505.0,2388
BV00007-1,BV00007,Cotton Stalk,2712.0,2355
BV00008-1,BV00008,Cotton Stalk,2625.0,2292
BV00009-1,BV00009,Cotton Stalk,2724.0,2405
BV00010-1,BV00010,Cotton Stalk,2646.0,2311
BV00011-1,BV00011,Cotton Stalk,2706.0,2380
BV00012-1,BV00012,Cotton Stalk,2278.0,2327
BV00013-1,BV00013,Groundnut Shell,3316.0,2490
BV00014-1,BV00014,Groundnut Shell,3156.0,2542
BV00015-1,BV00015,Groundnut Shell,3488.0,2618
BV00016-1,BV00016,Groundnut Shell,2737.0,2514
BV00017-1,BV00017,Cotton Stalk,3124.0,2468
BV00018-1,BV00018,Cotton Stalk,3261.0,2418
BV00019-1,BV00019,Cotton Stalk,3058.0,2475
BV00020-1,BV00020,Cotton Stalk,2637.0,2370
BV00021-1,BV00021,Cotton Stalk,2782.0,2355
BV00022-1,BV00022,Cotton Stalk,3138.0,2339
BV00023-1,BV00023,Cotton Stalk,3259.0,2391
BV00024-1,BV00024,Cotton Stalk,3119.0,2436
BV00025-1,BV00025,Cotton Stalk,2956.0,2468
BV00026-1,BV00026,Cotton Stalk,2719.0,2373
BV00027-1,BV00027,Cotton Stalk,2706.0,2411
BV00028-1,BV00028,Cotton Stalk,3676.0,2419
BV00029-1,BV00029,Cotton Stalk,3440.0,2389
BV00030-1,BV00030,Cotton Stalk,2749.0,2374
BV00031-1,BV00031,Cotton Stalk,2702.0,2386
BV00032-1,BV00032,Cotton Stalk,3643.0,2350
BV00033-1,BV00033,Groundnut Shell,3187.0,2579
BV00034-1,BV00034,Groundnut Shell,3137.0,2664
BV00035-1,BV00035,Groundnut Shell,2825.0,2544
BV00036-1,BV00036,Groundnut Shell,3153.0,2639
BV00037-1,BV00037,Groundnut Shell,3424.0,2526
BV00038-1,BV00038,Groundnut Shell,3317.0,2644
BV00039-1,BV00039,Cotton Stalk,3352.0,2453
BV00040-1,BV00040,Cotton Stalk,3636.0,2484
BV00041-1,BV00041,Cotton Stalk,3600.0,2487
BV00042-1,BV00042,Cotton Stalk,3611.0,2401
BV00043-1,BV00043,Cotton Stalk,3035.0,2397
BV00044-1,BV00044,Cotton Stalk,3416.0,2508
BV00045-1,BV00045,Cotton Stalk,3443.0,2401
BV00046-1,BV00046,Cotton Stalk,3943.0,2532
BV00047-1,BV00047,Cotton Stalk,3642.0,2402
BV00048-1,BV00048,Cotton Stalk,3572.0,2483
BV00049-1,BV00049,Cotton Stalk,3826.0,2400
BV00050-1,BV00050,Cotton Stalk,3056.0,2403
BV00051-1,BV00051,Cotton Stalk,3463.0,2484
BV00052-1,BV00052,Cotton Stalk,2736.0,2486
BV00053-1,BV00053,Cotton Stalk,3676.0,2403
BV00054-1,BV00054,Groundnut Shell,2332.0,2625
BV00055-1,BV00055,Groundnut Shell,2461.0,2708
BV00056-1,BV00056,Groundnut Shell,2252.0,2686
BV00057-1,BV00057,Groundnut Shell,2510.0,2678
BV00058-1,BV00058,Groundnut Shell,2136.0,2714
BV00059-1,BV00059,Groundnut Shell,2115.0,2627
BV00060-1,BV00060,Groundnut Shell,2172.0,2595
BV00061-1,BV00061,Groundnut Shell,2168.0,2645
BV00062-1,BV00062,Groundnut Shell,2079.0,2649
BV00063-1,BV00063,Cotton Stalk,2771.0,2474
BV00064-1,BV00064,Cotton Stalk,2708.0,2478
BV00065-1,BV00065,Cotton Stalk,2734.0,2444
BV00066-1,BV00066,Cotton Stalk,2307.0,2564
BV00067-1,BV00067,Cotton Stalk,2769.0,2535
BV00068-1,BV00068,Cotton Stalk,2902.0,2500
BV00069-1,BV00069,Cotton Stalk,2606.0,2471
BV00070-1,BV00070,Cotton Stalk,2606.0,2547
BV00071-1,BV00071,Cotton Stalk,2912.0,2473
BV00072-1,BV00072,Cotton Stalk,2799.0,2437
BV00073-1,BV00073,Cotton Stalk,2539.0,2530
BV00074-1,BV00074,Cotton Stalk,2741.0,2430
BV00075-1,BV00075,Cotton Stalk,2322.0,2478
BV00076-1,BV00076,Cotton Stalk,2411.0,2523
BV00077-1,BV00077,Cotton Stalk,2635.0,2521
BV00078-1,BV00078,Cotton Stalk,2196.0,2512
BV00079-1,BV00079,Cotton Stalk,2768.0,2431
BV00080-1,BV00080,Cotton Stalk,2592.0,2448
BV00081-1,BV00081,Groundnut Shell,2266.0,2771
BV00082-1,BV00082,Groundnut Shell,1880.0,2663
BV00083-1,BV00083,Groundnut Shell,1951.0,2671
BV00084-1,BV00084,Groundnut Shell,1850.0,2775
BV00085-1,BV00085,Groundnut Shell,2146.0,2746
BV00086-1,BV00086,Groundnut Shell,1850.0,2692
BV00087-1,BV00087,Groundnut Shell,2238.0,2673
BV00088-1,BV00088,Groundnut Shell,2053.0,2727
BV00089-1,BV00089,Groundnut Shell,2167.0,2737
BV00090-1,BV00090,Pellets,3062.0,7521
