ledger_name,parent_group,gstin,opening_balance
Shree Gohil Biofuels,Sundry Creditors,24AABBB3000B1Z0,0
Maa Kathiawad Biomass LLP,Sundry Creditors,24BFBBB3001B1Z1,0
Shree Girnar Krishi Udyog,Sundry Creditors,24CKBBB3002B1Z2,0
Somnath Sabar Biofuels,Sundry Creditors,24DPBBB3003B1Z3,0
Sardar Sabar Agri Residue LLP,Sundry Creditors,24EUBBB3004B1Z4,0
Om Sabar Agro Exports,Sundry Creditors,24FZBBB3005B1Z5,0
Maa Solanki Krishi Udyog,Sundry Creditors,24GEBBB3006B1Z6,0
Shree Saurashtra Biomass LLP,Sundry Creditors,24HJBBB3007B1Z7,0
Om Chudasama Bioenergy,Sundry Creditors,24IOBBB3008B1Z8,0
Dwarka Girnar Trading Company,Sundry Creditors,24JTBBB3009B1Z9,0
Dwarka Desai Agri Residue LLP,Sundry Creditors,24KYBBB3010B1Z0,0
Maa Kutch Biomass LLP,Sundry Creditors,24LDBBB3011B1Z1,0
Om Ambaji Bioenergy,Sundry Creditors,24MIBBB3012B1Z2,0
New Patel Agri Residue LLP,Sundry Creditors,24NNBBB3013B1Z3,0
Dwarka Jadeja Agro Traders,Sundry Creditors,24OSBBB3014B1Z4,0
Jay Sabar Agri Residue LLP,Sundry Creditors,24PXBBB3015B1Z5,0
Dwarka Girnar Pellet Works,Sundry Creditors,,0
Dwarka Bhal Agro Traders,Sundry Creditors,24RHBBB3017B1Z7,0
Dwarka Ambaji Trading Company,Sundry Creditors,24SMBBB3018B1Z8,0
Sardar Bhadar Agro Traders,Sundry Creditors,,0
Maa Girnar Krishi Udyog,Sundry Creditors,24UWBBB3020B1Z0,0
Om Sabar Trading Company,Sundry Creditors,,0
Somnath Bhadar Biomass LLP,Sundry Creditors,,0
Dwarka Desai Krishi Udyog,Sundry Creditors,24XLBBB3023B1Z3,0
Om Patel Agro Exports,Sundry Creditors,24YQBBB3024B1Z4,0
Jay Chudasama Agri Residue LLP,Sundry Creditors,24ZVBBB3025B1Z5,0
Om Chudasama Trading Company,Sundry Creditors,,0
Shree Girnar Pellet Works,Sundry Creditors,24BFBBB3027B1Z7,0
Om Jadeja Agro Traders,Sundry Creditors,,0
Om Sabar Bioenergy,Sundry Creditors,24DPBBB3029B1Z9,0
Jay Sabar Biofuels,Sundry Creditors,,0
Dwarka Gohil Pellet Works,Sundry Creditors,24FZBBB3031B1Z1,0
Somnath Girnar Biofuels,Sundry Creditors,24GEBBB3032B1Z2,0
Shree Ambaji Trading Company,Sundry Creditors,24HJBBB3033B1Z3,0
Om Bhal Trading Company,Sundry Creditors,24IOBBB3034B1Z4,0
Om Charotar Krishi Udyog,Sundry Creditors,,0
Jay Bhal Agri Residue LLP,Sundry Creditors,24KYBBB3036B1Z6,0
New Gohil Biomass LLP,Sundry Creditors,24LDBBB3037B1Z7,0
Ukai TPS,Sundry Debtors,,0
Sikka TPS,Sundry Debtors,,0
Morbi Cluster,Sundry Debtors,,0
Ankleshwar,Sundry Debtors,,0
Vapi,Sundry Debtors,,0
Kutch,Sundry Debtors,,0
