guid,voucher_type,vch_no,vch_date,ledger_name,amount,dr_cr,narration,entered_at
BV00001,Purchase,1,09-Apr-2023,Jay Bhal Agri Residue LLP,708331.0,Dr,husk purchase,09-Apr-2023
BV00002,Purchase,2,14-Apr-2023,Jay Bhal Agri Residue LLP,731025.0,Dr,husk purchase,14-Apr-2023
BV00003,Purchase,3,06-Apr-2023,Jay Bhal Agri Residue LLP,574250.0,Dr,husk purchase,06-Apr-2023
BV00004,Purchase,4,14-Apr-2023,Somnath Bhadar Biomass LLP,661021.0,Dr,husk purchase,14-Apr-2023
BV00005,Purchase,5,17-Apr-2023,Maa Solanki Krishi Udyog,729560.0,Dr,husk purchase,17-Apr-2023
BV00006,Purchase,6,05-Apr-2023,Maa Girnar Krishi Udyog,598194.0,Dr,husk purchase,05-Apr-2023
BV00007,Purchase,7,18-Apr-2023,Dwarka Gohil Pellet Works,638676.0,Dr,husk purchase,18-Apr-2023
BV00008,Purchase,8,14-Apr-2023,Dwarka Gohil Pellet Works,601650.0,Dr,husk purchase,14-Apr-2023
BV00009,Purchase,9,20-Apr-2023,Shree Girnar Krishi Udyog,655122.0,Dr,husk purchase,20-Apr-2023
BV00010,Purchase,10,05-Apr-2023,New Patel Agri Residue LLP,611490.6,Dr,husk purchase,05-Apr-2023
BV00011,Purchase,11,04-Apr-2023,Sardar Sabar Agri Residue LLP,644028.0,Dr,husk purchase,04-Apr-2023
BV00012,Purchase,12,07-Apr-2023,Dwarka Girnar Trading Company,530090.6,Dr,husk purchase,07-Apr-2023
BV00013,Purchase,13,05-Apr-2023,Somnath Girnar Biofuels,825684.0,Dr,stalk purchase,05-Apr-2023
BV00014,Purchase,14,25-Apr-2023,Shree Ambaji Trading Company,802255.2,Dr,stalk purchase,25-Apr-2023
BV00015,Purchase,15,20-Apr-2023,Somnath Girnar Biofuels,913158.4,Dr,stalk purchase,20-Apr-2023
BV00016,Purchase,16,19-Apr-2023,Dwarka Ambaji Trading Company,688081.8,Dr,stalk purchase,19-Apr-2023
BV00017,Purchase,17,20-May-2023,Om Chudasama Bioenergy,771003.2,Dr,husk purchase,20-May-2023
BV00018,Purchase,18,22-May-2023,Maa Solanki Krishi Udyog,788509.8,Dr,husk purchase,22-May-2023
BV00019,Purchase,19,06-May-2023,Somnath Bhadar Biomass LLP,756855.0,Dr,husk purchase,06-May-2023
BV00020,Purchase,20,27-May-2023,Jay Bhal Agri Residue LLP,624969.0,Dr,husk purchase,27-May-2023
