tender_ref,plant,grade_code,tonnes,window_start,window_end,rate_per_t,freight_per_t,quoted_gcv,option_pct,contract_type,loa_no
T-23-01,Ukai TPS,PLT-D4,22100,2023-04-01,2024-03-31,7540,690,3100,0.25,cumulative,LOA/T-23-01
T-23-05,Sikka TPS,PLT-D4,21700,2023-04-01,2024-03-31,7890,720,3100,0.25,cumulative,LOA/T-23-05
C-23-20,Kutch,PLT-C3,7100,2023-04-01,2024-03-31,7060,840,3000,0.0,scheduled,LOA/C-23-20
C-23-08,Morbi Cluster,PLT-D4,5900,2023-05-01,2024-04-30,8020,380,3400,0.0,scheduled,LOA/C-23-08
C-23-12,Ankleshwar,PLT-D4,6400,2023-05-01,2024-04-30,7820,520,3300,0.0,scheduled,LOA/C-23-12
C-23-16,Vapi,PLT-D4,5500,2023-07-01,2024-06-30,7820,610,3200,0.0,scheduled,LOA/C-23-16
T-24-02,Ukai TPS,PLT-C3,17300,2024-04-01,2025-03-31,8080,690,3100,0.25,cumulative,LOA/T-24-02
T-24-06,Sikka TPS,PLT-D4,22800,2024-04-01,2025-03-31,7210,720,3100,0.25,cumulative,LOA/T-24-06
C-24-21,Kutch,PLT-C3,4700,2024-04-01,2025-03-31,7530,840,3000,0.0,scheduled,LOA/C-24-21
C-24-09,Morbi Cluster,PLT-D4,5800,2024-05-01,2025-04-30,7340,380,3400,0.0,scheduled,LOA/C-24-09
C-24-13,Ankleshwar,PLT-D4,4900,2024-05-01,2025-04-30,7450,520,3300,0.0,scheduled,LOA/C-24-13
C-24-17,Vapi,PLT-D4,6400,2024-07-01,2025-06-30,7500,610,3200,0.0,scheduled,LOA/C-24-17
T-25-03,Ukai TPS,PLT-D4,17500,2025-04-01,2026-03-31,8850,690,3100,0.25,cumulative,LOA/T-25-03
C-25-22,Kutch,PLT-D4,7300,2025-04-01,2026-03-31,7460,840,3000,0.0,scheduled,LOA/C-25-22
C-25-10,Morbi Cluster,PLT-D4,6400,2025-05-01,2026-04-30,8210,380,3400,0.0,scheduled,LOA/C-25-10
C-25-14,Ankleshwar,PLT-C3,5400,2025-05-01,2026-04-30,7620,520,3300,0.0,scheduled,LOA/C-25-14
C-25-18,Vapi,PLT-D4,6300,2025-07-01,2026-06-30,8660,610,3200,0.0,scheduled,LOA/C-25-18
T-26-04,Ukai TPS,PLT-D4,18800,2026-04-01,2027-03-31,8880,690,3100,0.25,cumulative,LOA/T-26-04
T-26-07,Sikka TPS,PLT-D4,19100,2026-04-01,2027-03-31,8510,720,3100,0.25,cumulative,LOA/T-26-07
C-26-23,Kutch,PLT-D4,5600,2026-04-01,2027-03-31,8070,840,3000,0.0,scheduled,LOA/C-26-23
C-26-11,Morbi Cluster,PLT-C3,4500,2026-05-01,2027-04-30,8310,380,3400,0.0,scheduled,LOA/C-26-11
C-26-15,Ankleshwar,PLT-C3,5000,2026-05-01,2027-04-30,8870,520,3300,0.0,scheduled,LOA/C-26-15
C-26-19,Vapi,PLT-D4,6400,2026-07-01,2027-06-30,8760,610,3200,0.0,scheduled,LOA/C-26-19
